MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-11-19 14:08:20-03,UFRPE,PEUFR,18483,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,cf galheirensis,,Sida cf galheirensis,Ulbr.,M.R.C. Sales de Melo,1995,01,11,,M. Sales,274,,1994,08,13,,,Brasil,Pernambuco,Caruaru,Brejo dos Cavalos; Fazenda Caruaru,-36,-8.31,36º00'00W,08º18'36S,,,1100,1100,,,,,,,,,"Arbusto com cerca de 0,5m de altura; ramos longos revestidos por indumetno verde-castanho; inflorescencia com pedicelo e cálice verde claro; pétalas brancas com base amarela.",PEUFR018483,,
2019-11-19 14:08:20-03,UFRPE,PEUFR,13556,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,cf spinosa,,Sida cf spinosa,L.,J.L. Brandão,2013,01,22,,A.M. Miranda; L.P. Félix; M.L. Guedes; M. Grillo,794,,1993,05,31,,,Brasil,Pernambuco,Ilha de Fernando de Noronha,,-32.425,-3.836111,32º25'30W,03º50'10S,,,,,,,,,,,,,"Subarbusto; ramos verdes; folhas membranáceas verdes fracamente discolor; fruto recoberto por cálice verde, depois palaceo; flores não vistosas; hotel de transito do Governo.",PEUFR013556,,
2019-11-19 14:08:20-03,UFRPE,PEUFR,30144,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,cf spinosa,,Sida cf spinosa,L.,J.L. Brandão,2013,01,22,,L. Krause; A. Liebig; M.F. Sales,10,,1999,07,24,,,Brasil,Pernambuco,Bezerros,Serra Negra,-35.7645,-8.160617,"35º45,87'W","08º9,637'S",,,795,795,,,,,,,,,Arbusto com cerca de 40cm de altura; pétalas creme-brancas; estames amarelos.,PEUFR030144,,
2021-05-13 10:57:56-03,Cenargen,CEN,101045,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,cf. linifolia,,Sida cf. linifolia,Cav.,B. M. T. Walter,2017,09,,,Bárbara Pachêco,37,,2017,04,11,,,Brasil,BA,BARRO ALTO,Área da mineradora Anglo American Brasil.,-49.016111,-15.104722,-49.016111,-15.104722,,,,,,,,Exsicatas,1,,,,Doação Embrapa Cerrados.,CEN00101045,CEN00101045,
2021-05-13 10:57:56-03,Cenargen,CEN,77293,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,cf. coerulea,,Sida cf. coerulea,Mill.,A. Krapovickas,2011,12,,,Glocimar Pereira-Silva,8291,,2003,12,07,,,Brasil,GO,FLORES DE GOIAS,"Fazenda Regalito, margem esquerda do rio Santa Maria, próximo à sede.",-46.864444,-14.470555,-46.864444,-14.470555,,,500,500,,,,Exsicatas,4,,,,Mata subcaducufólia próxima ao rio Santa Maria.,CEN00077293,CEN00077293,
2021-05-13 10:57:56-03,Cenargen,CEN,50348,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,cf. glaziovii,,Sida cf. glaziovii,K.Schum.,B. M. T. Walter,2006,10,,,João Marcelo de Rezende,703,,2002,12,10,,,Brasil,GO,LUZIANIA,"Canteiro de obras. Margem direita do rio Corumbá a montante da Barragem, Fazenda Corumbá.",-48.20306,-16.32528,-48.20306,-16.32528,,,885,885,,,,Exsicatas,4,,,,2ª Parada. Área de influência direta AHE Corumbá IV.,CEN00050348,CEN00050348,
2021-05-13 10:57:56-03,Cenargen,CEN,63038,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,cf. jussiaeana,,Sida cf. jussiaeana,DC.,B. R. Teixeira & B. M. T. Walter,2007,11,,,Glocimar Pereira-Silva,10795,,2006,06,20,,,Brasil,TO,PARANA,Canteiro de obras do UHE São Salvador (almoxarifado e oficina).,-48.236666,-12.8025,-48.236666,-12.8025,,,260,260,,,,Exsicatas,4,,,,Área de influência direta (canteiro).,CEN00063038,CEN00063038,
2021-05-13 10:57:56-03,Cenargen,CEN,85555,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,cf. plumosa,,Sida cf. plumosa,Cav.,J. B. Pereira,2016,06,,,Bruno Machado Teles Walter,6708,,2014,01,29,,,Brasil,TO,ALMAS,"Estrada Almas - Natividade. À cerca de 5,5 km da entrada de Almas, área à esquerda.",-47.208888,-11.581388,-47.208888,-11.581388,,,425,425,,,,Exsicatas,4,,,,Coletada na área aberta. Cálice verde. Corola alaranjada.,CEN00085555,CEN00085555,
2021-05-13 10:57:56-03,Cenargen,CEN,107529,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,cf. viarum,,Sida cf. viarum,A.St.-Hil.,E. B. A. Dias,2017,10,,,Natália Rodrigues Bijos,375,,2017,06,29,,,Brasil,TO,CONCEICAO DO TOCANTINS,"Conglomerado: TO-582. Subunidade 4, subparcela 9, indivíduo. Levantamento de herbáceas.",-47.16,-12.06,-47.16,-12.06,,,,,,,,Unicata,1,,,,Projeto Inventário Florestal Nacional (IFN). Frutos de consistência seca.,CEN00107529,CEN00107529,
2021-05-13 10:57:56-03,Cenargen,CEN,76316,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,cf. tuberculata,,Sida cf. tuberculata,R.E.Fr.,J. Roveratti,2007,03,,,Juliene Roveratti Santos,804,,2007,03,22,,,Brasil,DF,BRASILIA,Parque Nacional de Brasília. Área queimada entre os portões 6 e 7.,-47.9296989440918,-15.7797002792358,,,70570,,,,,,,Exsicatas,4,,,,,CEN00076316,CEN00076316,auto
