MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-06-15 11:07:11-03,UFPI-MRV,HDELTA,6924,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,spinosa,,Sida spinosa,L.,"Sá, A. A.",2020,01,27,,"Sá, A. A.; Moura, B. R. M.; Sousa, A. R.",7,,2019,05,14,,,Brasil,Piauí,Regeneração,Alto do Balanço,-42.688889,-6.218889,"42°41'20,00W","6°13'08,00S",,,,,,,,,,,,,Campo aberto <ll>dwc_commonname:</ll> Malva,HDELTA006924,,
2021-01-06 11:42:36-03,UFPI-MRV,HDELTA,1880,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,spinosa,,Sida spinosa,L.,"Lemos, J. R.",,,,,"Silva, W.; Lemos, J. R.; Sá, V.; Cunha, C.",13,,2015,03,06,,,Brasil,Maranhão,Araioses,Ilha das canárias,-41.9030990600586,-2.89000010490417,,,49613,,,,,,,,,,,,,HDELTA001880,,auto
2021-01-06 11:42:36-03,UFPI-MRV,HDELTA,4277,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,spinosa,,Sida spinosa,L.,,,,,,"Pereira, V.S.; Lima, F.M.",134,,,,,,,Brasil,Piauí,Luis Correia,Pontal do Anel,-41.6669006347656,-2.87916994094849,,,59685,,,,,,,,,,,,,HDELTA004277,,auto
2016-10-18 16:26:05-02,UNEMAT,TANG,985,S,Plantae,,,,Malvaceae,Sida,spinosa,,Sida spinosa,L.,,,,,,Anônimo,s.n.,,2004,02,12,,,Brasil,Mato Grosso,Tangará da Serra,,-57.4858016967773,-14.6194000244141,0,0,175746,,,,,,,,,,,,"planta perenecaule pubescente, herbáceo",TANG000000985,,auto
2021-04-30 07:50:40-03,PUCPR,HUCP,15275,S,Plantae,Eudicotiledonea,,,Malvaceae,Sida,spinosa,,Sida spinosa,L.,"Jaszczerski, JC",,,,,"Fischer, ML",095,,1992,03,08,,,Brasil,Paraná,Colombo,Santa Mônica Clube de Campo,-49.2242012023926,-25.2917003631592,0,0,13536,,,,,,,,,,,,,HUCP00013819,HUCP00013819,auto
2020-02-08 09:59:50-03,NBC,NL-BOTANY,U.1381950,PreservedSpecimen,Plantae,,Magnoliopsidae,Malvales,Malvaceae,Sida,spinosa,,Sida spinosa,L.,,,,,,Harley RM; et al.,,,1974,02,20,,Southern America,Brazil,,,"Estado de Bahia, Lagoa da Eugenia southern end near Camaleao.",-39.716667,-10.666667,-39.716667,-10.666667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1381950 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1381950,NL-U1381950,
2020-02-08 09:59:50-03,NBC,NL-BOTANY,U.1381951,PreservedSpecimen,Plantae,,Magnoliopsidae,Malvales,Malvaceae,Sida,spinosa,,Sida spinosa,L.,,,,,,Jansen-Jacobs MJ; Jacobs-Brouwer A; James V; Andrew R,,,1995,08,05,,Southern America,Guyana,,,"Rupununi Distr., Manari, Takatu River. Wet savanna.",-59.766667,3.433333,-59.766667,3.433333,,,,,,,,,,,,U 0202432,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1381951 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1381951,NL-U1381951,
2020-02-08 09:59:50-03,NBC,NL-BOTANY,U.1381952,PreservedSpecimen,Plantae,,Magnoliopsidae,Malvales,Malvaceae,Sida,spinosa,,Sida spinosa,L.,,,,,,Jansen-Jacobs MJ; Jacobs-Brouwer A; James V; Andrew R,,,1995,08,05,,Southern America,Guyana,,,"Rupununi Distr., Manari, Takatu River. Wet savanna.",-59.766667,3.433333,-59.766667,3.433333,,,,,,,,,,,,U 0202431,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1381952 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1381952,NL-U1381952,
2021-04-02 11:40:37-03,UFPI,TEPB,9076,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,spinosa,,Sida spinosa,L.,A. Krapovickas,1996,01,01,,M. S. Bona Nascimento,554,,1994,03,10,,,Brasil,Piauí,Corrente,Calumbi,-45.162222,-10.443333,45°09'44W,10°26'36S,,,438,438,,,,,,,,,Subarbusto ereto; solo arenoso; uso paran pasto. Ambiente: Cerrado <ll>dwc_commonname:</ll> Malvinha,,,
2021-04-02 11:40:37-03,UFPI,TEPB,9067,PreservedSpecimen,Plantae,,,,Malvaceae,Sida,spinosa,,Sida spinosa,L.,A. Krapovickas,1996,01,01,,M.S. Bona Nascimento,1044,,1995,06,12,,,Brasil,Piauí,Campo Maior,Fazenda Sol Posto,-42.168611,-4.827778,42°10'07W,04°49'40S,,,125,125,,,,,,,,,"Relevo plano, atualmente utilizada como pastagem natural; solo arenoso com boa drenagem; subarbusto: ca. de 1,0m; flores amarelo-pálidas; espécime somente disponível na estação das chuvas, estando em plena floração e início de frutificação; associatividad",,,
