MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:13-03,UFES,SAMES,8193,PreservedSpecimen,Plantae,,,,Gesneriaceae,Sinningia,aghensis,,Sinningia aghensis,Chautems,,,,,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.;N.S.S.braga.",371,,2017,12,08,,,Brasil,Espírito Santo,Nova Venécia,APA PEDRA DO ELEFANTE.,-40.4006004333496,-18.710599899292,-404611111.0,-187700000.0,42400,,,,,,,,,,,,"Folhas verdes, inflorescência verde- roxeada, sol, abundante.",SAMES08193,,auto
2021-03-24 17:09:13-03,UFES,SAMES,1188,PreservedSpecimen,Plantae,,,,Gesneriaceae,Sinningia,aghensis,,Sinningia aghensis,Chautems,,,,,,"Pinto Junior, H.V.; Menezes, L.F.T.; Covre, C.",167,,2015,07,29,,,Brasil,Espírito Santo,Águia Branca,"Região dos Três Pontões de Águia Branca, afloramento dissertação Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verdes aveludadas; flores roxas e verdes com pontuações pretas, botões verdes; sol pleno.",SAMES01188,,auto
2021-06-30 13:15:56-03,MBM,MBM,263550,S,Plantae,,,,Gesneriaceae,Sinningia,aghensis,,Sinningia aghensis,Chautems,"Chautems, A.",1989,02,,PARATYPE,"Brüger, M.",19362,,1982,11,05,,Southern America,Brazil,Espírito Santo,Piúma,Monte H,-40.7219009399414,-20.8377990722656,0,0,11958,,,,,,,,,,,,"Planta saxicola, exposta ao sol (heliófila), caule tuberoso perene, partes aéreas menos frequente na vertente aul do monte, fl. roxas, uma eté duas flores abertas, as demais ainda p/ abrir, frutos deiscentes.; Saxícola, exposta ao s",MBM263550,MBM263550,auto
2019-06-27 10:25:18-03,UFES,VIES,40915,S,Plantae,,,,Gesneriaceae,Sinningia,aghensis,,Sinningia aghensis,Chautems,,,,,,"Luber, J.; Souza, W.O.; Pena, N.T.L. & Alves-Araújo, A.",91,,2015,05,05,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES040915,VIES040915,auto
2019-06-27 10:25:18-03,UFES,VIES,40992,S,Plantae,,,,Gesneriaceae,Sinningia,aghensis,,Sinningia aghensis,Chautems,,,,,,"Luber, J.; Souza, W.O.; Pena, N.T.L. & Alves-Araújo, A.",105,,2015,05,05,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES040992,VIES040992,auto
2020-04-27 16:10:06-03,UFES,VIES,32474,S,Plantae,,,,Gesneriaceae,Sinningia,aghensis,,Sinningia aghensis,Chautems,"Cardoso, W.C.",2013,03,17,,"Cardoso, W.C.; Iglesias, D.T.",248,,2013,03,17,,,Brasil,Espírito Santo,Serra,APA Mestre Álvaro.,-40.3078002929688,-20.1285991668701,,,16451,,610,610,,,,,,,,,,VIES032474,VIES032474,auto
2019-09-27 18:05:00-03,UFES,VIES,17509,S,Plantae,,,,Gesneriaceae,Sinningia,aghensis,,Sinningia aghensis,Chautems,"Gomes, J.M.L.",2009,11,22,,"Gomes, J.M.L.",3687,,2009,11,22,,,Brasil,Espírito Santo,Serra,APA Mestre Álvaro.,-40.3078002929688,-20.1285991668701,,,16451,,,,,,,,,,,,,VIES017509,VIES017509,auto
2019-09-27 18:05:00-03,UFES,VIES,13596,S,Plantae,,,,Gesneriaceae,Sinningia,aghensis,,Sinningia aghensis,Chautems,"Gomes, J.M.L.",2009,11,14,,"Gomes, J.M.L.",3551,,2009,11,14,,,Brasil,Espírito Santo,Serra,APA Mestre Álvaro.,-40.3078002929688,-20.1285991668701,,,16451,,750,750,,,,,,,,,,VIES013596,VIES013596,auto
2021-06-10 16:18:05-03,UFES,VIES,679,S,Plantae,,,,Gesneriaceae,Sinningia,aghensis,,Sinningia aghensis,Chautems,"Chautems, A.",1989,12,,Holotipo,"Vinha, P.C.",,,1984,09,14,,,Brasil,Espírito Santo,Vila Velha,Morro do Moreno.,-40.2924995422363,-20.3297004699707,,,27156,,,,,,,,,,,,,VIES000679,VIES000679 VIES000679_1,auto
2019-06-27 10:25:18-03,UFES,VIES,26619,S,Plantae,,,,Gesneriaceae,Sinningia,aghensis,,Sinningia aghensis,Chautems,"Chautems, A.",2012,,,,"Cardoso, W.C.; Santos, P.C.",33,,2011,11,06,,,Brasil,Espírito Santo,Vila Velha,Morro do Moreno.,-40.2924995422363,-20.3297004699707,,,27156,,,,,,,,,,,,,VIES026619,VIES026619,auto
