MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 09:32:05-03,NBC,NL-BOTANY,U.1334664,PreservedSpecimen,Plantae,,Magnoliopsidae,Lamiales,Gesneriaceae,Sinningia,sceptrum,,Sinningia sceptrum,(Mart.) Wiehler,,,,,,Lindeman JC; Haas JH de,,,1967,01,30,,Southern America,Brazil,,,"Est. Parana. Minas Gerais. BR 55 road S. Paulo - Belo Horizonte, ca. 30 km S of Pouso Alegre. In varzea of Rio Itaim.",-46,-22.5,-46.0,-22.5,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1334664 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1334664,NL-U1334664,
2019-08-27 13:33:06-03,IAP,PACA-AGP,98.1,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Scrophulariales,Gesneriaceae,Sinningia,cf. sceptrum,af. sellowii,Sinningia cf. sceptrum af. sellowii,(Mart.) Wiehler,A. Chautems,1989,02,,,"Rambo, B.",,,1933,11,03,,,Brasil,RS,Porto Alegre,,-51.2299995422363,-30.0331001281738,,,29946,,,,,,,,,,,,Emrich-Rambo det. em 1.8.1954. como Corytholoma confertifolium (Hans) Fritsch; sterilis Habitat: in silva cmapestri ad arbores,PACA000098-1,,auto
2021-03-24 17:09:13-03,UFES,SAMES,6198,PreservedSpecimen,Plantae,,,,Gesneriaceae,Sinningia,sceptrum,,Sinningia sceptrum,(Mart.) Wiehler,,,,,,"Pinto Juniro,H.V.; Cruz,G.P.R.;Justino,W.S.",296,,2016,05,26,,,Brasil,Espírito Santo,Castelo,Mirante do Parque.,-41.184700012207,-20.6035995483398,-410908333.0,-205111111.0,23588,,,,,,,,,,,,Folhas verdes; flores laranjas. Habitat: Ilha de vegetação em afloramento rochoso. Habito: Herbáceo,SAMES06198,,auto
2021-05-17 15:57:05-03,UNICAMP,UEC,114441,S,Plantae,Magnoliopsida,,,Gesneriaceae,Sinningia,sceptrum,,Sinningia sceptrum,(Mart.) Wiehler,"Chautems, A",2004,02,,,"Kollmann, L",64,,1991,02,26,,,Brazil,Espírito Santo,Santa Maria De Jetibá,"Rio Nove, Sítio L. Kollmann.",-40.65,-19.983333,-40.65,-19.983333,,,850,850,,,,,,,,,"flor, Flor cor de laranja; por dentro amarela. Crescendo no barranco da estrada, junto ao capim meloso e samambaia.",UEC141476,UEC141476,
2021-05-17 15:57:05-03,UNICAMP,UEC,123460,S,Plantae,Magnoliopsida,,,Gesneriaceae,Sinningia,sceptrum,,Sinningia sceptrum,(Mart.) Wiehler,"Araújo, AO",2003,05,,,"San Martin-Gajardo, I; Freitas, L",092001,,2001,04,27,,,Brazil,Minas Gerais,Catas Altas,Caminho para Inficionado,-43.4075012207031,-20.0746994018555,0,0,11966,,1300,1300,,,,,,,,,"Erva ereta, ca. 2,5m de altura. Corola vermelho alaranjado.; Área brejosa. Campo rupestre.",UEC141479,UEC141479,auto
2021-05-17 15:57:05-03,UNICAMP,UEC,60106,S,Plantae,Magnoliopsida,,,Gesneriaceae,Sinningia,sceptrum,,Sinningia sceptrum,(Mart.) Wiehler,"Chautems, A",1996,,,,"Yamamoto, K; Vieira, AOS",26212,,1992,05,02,,,Brazil,Rio de Janeiro,Magé,Subida para o pico dedo de Deus,-43.040599822998,-22.6527996063232,0,0,20531,,,,,,,,,,,,"flor, Erva com cerca de 70 cm. Tubo da corola rosa-salmão, margem dos lacínios mais escuros, base e interior do tubo creme. Beira de mata úmida, divisa com cultura.",UEC141477,UEC141477,auto
2021-05-17 15:57:05-03,UNICAMP,UEC,105996,S,Plantae,Magnoliopsida,,,Gesneriaceae,Sinningia,sceptrum,,Sinningia sceptrum,(Mart.) Wiehler,"Chautems, A",2000,01,,,"Aona, LYS; Belinello, R; Galvão, JC; Anderson, LO; Faria, AD",99/02,,1999,01,19,,,Brazil,Rio de Janeiro,Nova Friburgo,"Reserva Macaé de Cima, Estrada de terra a 3,5 km do Hotel Fazenda São João.",-42.5311012268066,-22.2819004058838,0,0,33190,,,,,,,,,,,,flor,UEC141478,UEC141478,auto
2021-05-17 15:57:05-03,UNICAMP,UEC,110839,S,Plantae,Magnoliopsida,,,Gesneriaceae,Sinningia,sceptrum,,Sinningia sceptrum,(Mart.) Wiehler,"Rossini, J",2014,09,25,,"Amaral, MCE; Bittrich, V; Mendonça, TG; Belinello, R",2000/06,,2000,02,04,,,Brazil,São Paulo,Itirapina,"Brejo com rio pelo meio, solo arenoso, ancharcado.",-47.8199996948242,-22.25,0,0,22843,,,,,,,,,,,,"Subarbusto delgado, não-ramificado, 1,3 m, flores alaranjadas.",UEC062225,UEC062225,auto
2021-06-30 13:15:59-03,MBM,MBM,392910,S,Plantae,,,,Gesneriaceae,Sinningia,sceptrum,,Sinningia sceptrum,(Mart.) Wiehler,,,,,,"Fraga, C.N.; Forzza, R.C.; Fontana, A.P.; Goldenberg, R.; Kollmann, L.; Amorim,; Forzza, R.C.; Fontana, A.P.; Goldenberg, R.; Kollmann, L.; Amorim, A.M.",2450,,2009,04,07,,Southern America,Brazil,Espírito Santo,Castelo,"Parque Estadual do Forno Grande, Trilha para o mirante",-41.0875,-20.519444,-41.0875,-20.519444,,,1100,1400,,,,,,,,,"Erva ereta. Folhas verdes discolores. Flores com sépalas verdes e pétalas laranjas na face externa, amareladas internamente, estames brancos.; Floresta Ombrófila Densa Altomontana com inselbergues.",MBM392910,MBM392910,
2021-06-30 13:15:59-03,MBM,MBM,285636,S,Plantae,,,,Gesneriaceae,Sinningia,sceptrum,,Sinningia sceptrum,(Mart.) Wiehler,"Chautems, A.",,,,,"Hatschbach, G.; et al.; et al.",75254,,2003,06,12,,Southern America,Brazil,Bahia,Santa Luzia,"Santa Luzia, arredores",-39.3342018127441,-15.4294004440308,0,0,33804,,,,,,,,,,,,,MBM285636,MBM285636,auto
