MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:43-03,PUCPR,HUCP,22080,S,Plantae,Monocotiledonea,,,Smilacaceae,Smilax,elastica,,Smilax elastica,Griseb.,"Lozano, E",,,,,"Lozano, E",632,,2011,07,14,,,Brasil,Paraná,Balsa Nova,São Luiz do Purunã,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,HUCP00006111,,auto
2019-12-04 15:26:43-03,PUCPR,HUCP,18326,S,Plantae,Monocotiledonea,,,Smilacaceae,Smilax,elastica,,Smilax elastica,Griseb.,,,,,,"Selusniaki, M; Moledo, R; Beltrami, L",544,,2005,09,03,,,Brasil,Paraná,Curitiba,Parque Municipal do Passaúna,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00006112,,auto
2019-12-04 15:26:43-03,PUCPR,HUCP,3630,S,Plantae,Monocotiledonea,,,Smilacaceae,Smilax,elastica,,Smilax elastica,Griseb.,"Silva, SM",1987,08,28,,"Silva, SM; Britez, RM",1036/1772,,,,,,,Brasil,Paraná,Paranaguá,Ilha do Mel,-48.5092010498047,-25.5200004577637,0,0,24916,,,,,,,,,,,,,HUCP00005982,,auto
2019-12-04 15:26:43-03,PUCPR,HUCP,10444,S,Plantae,Monocotiledonea,,,Smilacaceae,Smilax,elastica,,Smilax elastica,Griseb.,"Cervi, AC",,,,,"Cervi, AC",4111,,1993,06,20,,,Brasil,São Paulo,Itararé,Gruta da Barreirinha,-49.3400001525879,-24.1100006103516,0,0,27729,,,,,,,,,,,,,HUCP00005926,,auto
2019-12-04 15:26:43-03,PUCPR,HUCP,18323,S,Plantae,Monocotiledonea,,,Smilacaceae,Smilax,elastica,,Smilax elastica,Griseb.,"Cordeiro, J",2007,,,,"Selusniaki, M",709,,2006,,,,,Brasil,São Paulo,Mairiporã,"Mato Dentro, Serra da Cantareira.",-46.5800018310547,-23.3099994659424,0,0,15840,,,,,,,,,,,,,HUCP00005874,,auto
2019-12-04 15:26:43-03,PUCPR,HUCP,24305,S,Plantae,Monocotiledonea,,,Smilacaceae,Smilax,elastica,,Smilax elastica,Griseb.,"Cordeiro, J",,,,,"Felitto, G",280,,2012,03,19,,,Brasil,São Paulo,Mirandópolis,,-51.0999984741211,-21.1299991607666,0,0,33315,,,,,,,,,,,,,HUCP0000033,,auto
2020-02-08 09:37:29-03,NBC,NL-BOTANY,U.1737729,PreservedSpecimen,Plantae,,Magnoliopsidae,Liliales,Liliaceae,Smilax,elastica,,Smilax elastica,Griseb.,Andreata RHP,1998,06,01,,Nascimento JR,,,1995,01,24,,Southern America,Brazil,Amazonas,,,-59.966667,-2.883333,-59.966667,-2.883333,,,,,,,,,,,,U 0036480,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1737729 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1737729,NL-U1737729,
2020-02-08 09:37:29-03,NBC,NL-BOTANY,U.1737720,PreservedSpecimen,Plantae,,Magnoliopsidae,Liliales,Liliaceae,Smilax,elastica,,Smilax elastica,Griseb.,Ferrufino L,2010,06,01,,Rauscher I,,,1990,05,08,,Southern America,Brazil,Paraná,,"State Paraná, Prov. Ponta Grossa, Mun. Vila Velha, Parque Nacional de Vila Velha.",-50,-25.166667,-50.0,-25.166667,,,,,,,,,,,,U 0184696,Stony campo.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1737720 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1737720,NL-U1737720,
2020-02-08 09:37:29-03,NBC,NL-BOTANY,U.1737719,PreservedSpecimen,Plantae,,Magnoliopsidae,Liliales,Liliaceae,Smilax,elastica,,Smilax elastica,Griseb.,Ferrufino L,2010,06,01,,Pabst GFJ,,,,,,,Southern America,Brazil,Santa Catarina,,"Brasil, Sta. Catarina.",-53.733333,-26.533333,-53.733333,-26.533333,,,,,,,,,,,,U 0184700,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1737719 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1737719,NL-U1737719,
2020-02-08 09:37:29-03,NBC,NL-BOTANY,U.1737723,PreservedSpecimen,Plantae,,Magnoliopsidae,Liliales,Liliaceae,Smilax,elastica,,Smilax elastica,Griseb.,,,,,,Harley RM,,,1974,01,31,,Southern America,Brazil,,,"Estado de Bahia, Serra do Sincora, 16 km N. 0f Barra da Estiva on the Paraguacu road.",-41.333333,-13.333333,-41.333333,-13.333333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1737723 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1737723,NL-U1737723,
2020-02-08 09:37:29-03,NBC,NL-BOTANY,U.1737725,PreservedSpecimen,Plantae,,Magnoliopsidae,Liliales,Liliaceae,Smilax,elastica,,Smilax elastica,Griseb.,,,,,,Harley RM,,,1974,03,23,,Southern America,Brazil,,,"Estado de Bahia, Coastal Zone. Ca 4 km S.W. of Belmonte on road to Itapebi.",-38.916667,-15.916667,-38.916667,-15.916667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1737725 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1737725,NL-U1737725,
