MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-05-17 16:10:18-03,UNICAMP,UEC,172905,S,Plantae,Magnoliopsida,,,Solanaceae,Solanum,hexandrum,,Solanum hexandrum,Vell.,"Stehmann, JR",2019,07,10,,"Pedroni, F; Sanchez, M; Laps, RR; Belinello, R",2454,,1997,01,18,,,Brazil,São Paulo,Ubatuba,"Picinguaba. Morro do Corisco altitude 600 m, arbusto com frutos imaturos.",-44.835,-23.333333,-44.835,-23.333333,,,120,120,,,,,,,,,Arbusto com botões.; Mata Atlântica de Encosta.,UEC084888,UEC084888,
2021-05-17 16:10:18-03,UNICAMP,UEC,80007,S,Plantae,Magnoliopsida,,,Solanaceae,Solanum,hexandrum,,Solanum hexandrum,Vell.,"Kuhlmann, M",,,,,"Kuhlmann, M",2678,,1951,03,23,,,Brazil,Rio de Janeiro,Angra dos Reis,Fazenda Japuhyba.,-44.647222,-23.044167,-44.647222,-23.044167,,,,,,,,,,,,,A margem do corrego.,UEC074134,UEC074134,
2021-05-17 16:10:18-03,UNICAMP,UEC,186805,S,Plantae,Magnoliopsida,,,Solanaceae,Solanum,hexandrum,,Solanum hexandrum,Vell.,,,,,,"Flores, TB; Campos, OR",1717,,2012,10,30,,,Brazil,Espírito Santo,Castelo,Estrada entre a sede do Parque Estadual do Forno Grande eo povoado de Pedregulho.,-41.184700012207,-20.6035995483398,0,0,23588,,,,,,,,,,,,"Erva,ca.1m de alt. Cálice verde, corola alva, androceu amarelo.",UEC116534,UEC116534,auto
2021-05-17 16:10:18-03,UNICAMP,UEC,63222,S,Plantae,Magnoliopsida,,,Solanaceae,Solanum,hexandrum,,Solanum hexandrum,Vell.,"Stehmann, JR",,,,,s/ coletor,12010,,1987,11,27,,,Brazil,Minas Gerais,Caratinga,Estação Biológica de Caratinga.,-42.1391983032227,-19.7896995544434,0,0,49886,,,,,,,,,,,,"Arbusto 1,5m. Pétala roxa cheia espinhos coletada em morro pelado, presença de mamangava.",UEC047344,UEC047344,auto
2021-05-17 16:10:18-03,UNICAMP,UEC,45637,S,Plantae,Magnoliopsida,,,Solanaceae,Solanum,hexandrum,,Solanum hexandrum,Vell.,"Stehmann, JR",1996,10,10,,"Weyland Vieira, MC",333,,1982,03,12,,,Brazil,Minas Gerais,Caratinga,Fazenda Montes Claros.,-42.1391983032227,-19.7896995544434,0,0,49886,,,,,,,,,,,,Arbusto-Flores Lilazes.,UEC047218,UEC047218,auto
2021-05-17 16:10:18-03,UNICAMP,UEC,52360,S,Plantae,Magnoliopsida,,,Solanaceae,Solanum,hexandrum,,Solanum hexandrum,Vell.,"Stehmann, JR",1996,10,10,,"Costa, APL",16985,,1984,09,,,,Brazil,Minas Gerais,Juiz de Fora,Reserva Biológica Municipal do Poço D'Anta. Em Beira de Mata.,-43.3502998352051,-21.7642002105713,0,0,36144,,,,,,,,,,,,,UEC047339,UEC047339,auto
2021-05-17 16:10:18-03,UNICAMP,UEC,47625,S,Plantae,Magnoliopsida,,,Solanaceae,Solanum,hexandrum,,Solanum hexandrum,Vell.,"Carvalho, LF",1990,,,,"Boechat, SL",17,,1986,10,09,,,Brazil,Minas Gerais,Tombos,Parque F. Municipal da Cachoeira.,-42.0228004455566,-20.9046993255615,0,0,16749,,,,,,,,,,,,"Flor lilás, frutos brancos, parte foleares com espinhos.",UEC074132,UEC074132,auto
2021-05-17 16:10:18-03,UNICAMP,UEC,181481,S,Plantae,Magnoliopsida,,,Solanaceae,Solanum,hexandrum,,Solanum hexandrum,Vell.,"Stehmann, JR; Giacomin, LL",2011,09,,,"Mantovani, W",138,,1979,10,23,,,Brazil,São Paulo,Bananal,Estrada de aceso à RESERVA FLORESTAL.,-44.3199996948242,-22.6800003051758,0,0,26795,,,,,,,,,,,,Arbusto de 2m. flores lilases.,UEC047215,UEC047215,auto
2021-05-17 16:10:18-03,UNICAMP,UEC,181447,S,Plantae,Magnoliopsida,,,Solanaceae,Solanum,hexandrum,,Solanum hexandrum,Vell.,"Chiarini, FE",2003,,,,"Esteves, GL; Rodrigues, EA; Shirasuna, RT; Catharino, ELM",2634,,1994,09,27,,,Brazil,São Paulo,Bananal,Serra da Bocaina. Estrada para Madeirite.,-44.3199996948242,-22.6800003051758,0,0,26795,,,,,,,,,,,,"Arbusto, cerca de !,5m de altura; corola roxo-clara; cálice arroxeado; indumento ferrugíneo.",UEC047338,UEC047338,auto
2021-05-17 16:10:18-03,UNICAMP,UEC,111296,S,Plantae,Magnoliopsida,,,Solanaceae,Solanum,hexandrum,,Solanum hexandrum,Vell.,"Stehmann, JR",2000,02,,,"Freitas, L",587,,1999,02,24,,,Brazil,São Paulo,São José do Barreiro,,-44.5699996948242,-22.6399993896484,0,0,30784,,,,,,,,,,,,"Arbusto ca. 1,5 m. Flores:corola púrpura Violáceo com anteras amarelo e Púrpura.; Floresta Ombrófila Densa, montana.SP221Km 13.",UEC047341,UEC047341,auto
