MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:04-03,UFES,SAMES,1707,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Stillingia,argutedentata,,Stillingia argutedentata,Jabl.,,,,,,"Pinto Junior, H.V.; Covre, C.",255,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,-407680556.0,-192908334.0,42400,,,,,,,,,,,,"Arbusto com 1,5 m em vegetação rupícola; folhas verdes claro com bordo crenado; flores amarelas diminutas; borda de mata; trilha para Pedra do Elefante.",SAMES01707,,auto
2021-03-24 17:09:04-03,UFES,SAMES,8216,PreservedSpecimen,Plantae,,,,Euphorbiaceae,Stillingia,argutedentata,,Stillingia argutedentata,Jabl.,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",394,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Folhas verdes,frutos redondos, e verde, habitando a ilha de vegetação inselberg.",SAMES08216,,auto
2021-06-30 13:12:55-03,MBM,MBM,105442,S,Plantae,,,,Euphorbiaceae,Stillingia,argutedentata,,Stillingia argutedentata,Jabll,"Ribas, O.S.",,,,,"Hatschbach, G.; Zelma, F.J.; Zelma, F.J.",50003,,1985,11,20,,Southern America,Brazil,Minas Gerais,Medina,"Rod. BR-116, 10km S de Medina",-41.4768981933594,-16.2224998474121,0,0,44236,,,,,,,,,,,,,MBM105442,MBM105442,auto
2021-06-30 13:12:55-03,MBM,MBM,71740,S,Plantae,,,,Euphorbiaceae,Stilingia,argutedentata,,Stilingia argutedentata,Jabl.,"Huft, M.J.",,,,,"Hatschbach, G.",44284,,1981,10,16,,Southern America,Brazil,Minas Gerais,Pedra Azul,Rod. BR-116,-41.2971992492676,-16.0053005218506,0,0,39993,,,,,,,,,,,,,MBM071740,MBM071740,auto
2019-06-10 10:10:41-03,FZB-BH,BHZB,4561,S,Plantae,,,,Euphorbiaceae,Stillingia,argutedentata,,Stillingia argutedentata,,,,,,,"Fernandes, M.G.C.",,,2004,03,19,,,Brasil,MG,Pedra Azul,Fazenda Bom Jardim,-41.290556,-16.059167,41W 17' 26,16S 03' 33,,,,,,,,,,,,,16°03'33S - 41°17'26W. Com duplicata.,,,
2019-06-10 10:10:41-03,FZB-BH,BHZB,3808,S,Plantae,,,,Euphorbiaceae,Stillingia,argutedentata,,Stillingia argutedentata,,,,,,,"Andrade, I.R. et al.",,,2003,05,10,,,Brasil,MG,Pedra Azul,,-41.2971992492676,-16.0053005218506,,,39993,,,,,,,,,,,,Com duplicata.,,,auto
2019-06-10 10:10:41-03,FZB-BH,BHZB,4219,S,Plantae,,,,Euphorbiaceae,Stillingia,argutedentata,,Stillingia argutedentata,,,,,,,"Andrade, I.R. et al.",,,,,,,,Brasil,MG,Pedra Azul,Fazenda Dr. Marcílio,-41.291667,-16.041111,41W 17' 30,16S 02' 28,,,,,,,,,,,,,16°02'28S - 41°17'30W. Com duplicata.,,,
2021-06-13 16:41:00-03,NY,NYBG,1065158,PreservedSpecimen,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Stillingia,argutedentata,,Stillingia argutedentata,Jabl.,S. Athiê de Souza,,,,,R. M. Harley,25207,,1988,10,10,,South America,Brazil,Minas Gerais,Pedra Azul,"10 km. ao leste da cidade, na estrada para Almenara.",-41.2,-16.13,,,,,1000,1000,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220061' target='other'> <mi>dwc_moreinfo</mi></a>,NY01065158,NY01065158_01,
2021-06-13 16:41:00-03,NY,NYBG,1065166,PreservedSpecimen,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Stillingia,argutedentata,,Stillingia argutedentata,Jabl.,E. Jablonski,,,,,Z. A. Trinta,785,,1964,04,20,,South America,Brazil,Minas Gerais,Pedra Azul,Pedra da Conceição.,-41.277389,-16.020808,,,,,,,,,,sheet,,,,,[Fromm 1861] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220078' target='other'> <mi>dwc_moreinfo</mi></a>,NY01065166,NY01065166_01,
2019-09-27 18:04:36-03,UFES,VIES,41186,S,Plantae,,,,Euphorbiaceae,Stillingia,argutedentata,,Stillingia argutedentata,Jabl.,"Pena, N.T.L.",2016,11,11,,"Pena, N.T.L.; Alves-Araújo, A; Souza, W.O.",535,,2015,11,06,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES041186,VIES041186,auto
