MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:41-03,UFES,SAMES,8202,PreservedSpecimen,Plantae,,,,Arecaceae,Syagrus,ruschiana,,Syagrus ruschiana,(Bondar) Glassman,,,,,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.",380,,2018,03,20,,,Brasil,Espírito Santo,Águia Branca,REGIÃOS DOS 3 PONTÕES DE ÁGUIA BRANCA.,-40.7402992248535,-18.9831008911133,-407122222.0,-189786111.0,19701,,,,,,,,,,,,"Palmeira com mais de 2 metros, frutos laranjas (na carpoteca), sol, habitando ilha de vegetação em inselberg.",SAMES08202,,auto
2021-03-24 17:08:41-03,UFES,SAMES,8232,PreservedSpecimen,Plantae,,,,Arecaceae,Syagrus,ruschiana,,Syagrus ruschiana,(Bondar) Glassman,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",410,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Folhas verdes, frutos verdes (na carpoteca). Sol habitando ilha de vegetação inselberg.",SAMES08232,,auto
2021-03-24 17:08:41-03,UFES,SAMES,6932,PreservedSpecimen,Plantae,,,,Arecaceae,Syagrus,ruschiana,,Syagrus ruschiana,(Bondar) Glassman,"Ribeiro, M.",2019,07,11,,"Coelho,R.",404,,2014,05,02,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,SAMES06932,,auto
2021-04-20 15:47:15-03,IAC,IAC,37382,PreservedSpecimen,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Syagrus,ruschiana,,Syagrus ruschiana,(Bondar) Glassman,H.Q.B. Fernandes,1988,12,09,,H.Q.B. Fernandes,2678,,1988,12,09,,,Brasil,Espírito Santo,Pancas,"estrada Pancas, Vila Verde, cerca 2 km da Sede Municipal",-40.8514,-19.225,-40.8514,-19.2250,,,,,,,,,,,,,"Estipe 8, a 40x90 cm comCicatrizes foliares agudas Fruto: Frtos verdes,Alaran/C/Epicarpo Fendido em Tres Quando maduro Ambiente de coleta: Ao sol, sobre rocha Nua (grande população) HÃ¡bito vegetativo: Arbusto, 3 m alt., folhas arqueadas <ll>dwc_commonname:</ll> Coco De Pedra",,,
2016-09-28 16:11:00-03,NY,NYBG,00568002,PreservedSpecimen,Plantae,Magnoliophyta,,Arecales,Arecaceae,Syagrus,ruschiana,,Syagrus ruschiana,,,,,,,L. R. Noblick,4838,,1992,03,10,,South America,Brazil,Espírito Santo,Pancas,3 km NW of town on the road Pancas/Vila Verde.,-40.87,-19.25,,,,,250,400,,,,packeted,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193691' target='other'> <mi>dwc_moreinfo</mi></a>,NY00568002,NY00568002_01 NY00568002_02 NY00568002_03 NY00568002_04 NY00568002_05 NY00568002_06 NY00568002_07 NY00568002_08,
2016-09-30 22:29:00-03,NY,NYBG,2480152,PreservedSpecimen,Plantae,Magnoliophyta,,Arecales,Arecaceae,Syagrus,ruschiana,,Syagrus ruschiana,,,,,,,M. O. de O. Pellegrini,369,,2013,04,22,,South America,Brazil,Espírito Santo,Água Doce do Norte,Morro da torre de celular,-40.9853,-18.5697,,,,,624,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2700133' target='other'> <mi>dwc_moreinfo</mi></a>,NY02480152,NY02480152_01,
2016-09-30 22:29:00-03,NY,NYBG,2480153,PreservedSpecimen,Plantae,Magnoliophyta,,Arecales,Arecaceae,Syagrus,ruschiana,,Syagrus ruschiana,,,,,,,M. O. de O. Pellegrini,369,,2013,04,22,,South America,Brazil,Espírito Santo,Água Doce do Norte,Morro da torre de celular,-40.9853,-18.5697,,,,,624,,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2700134' target='other'> <mi>dwc_moreinfo</mi></a>,NY02480153,NY02480153_01,
2021-06-17 11:42:28-03,CVRD,CVRD,6476,PreservedSpecimen,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Syagrus,ruschiana,,Syagrus ruschiana,(Bondar) Glassman,,,,,,"Folli, D.A.",3600,,2000,04,11,,América do Sul,BRASIL,ES,Linhares,Palmeto,-40.0722007751465,-19.3910999298096,,,48094,,,,,,,,,,,,<ll>dwc_commonname:</ll> Côco de pedra,CVRD006476,,auto
2020-01-22 14:50:14-03,USP,SPF,209517,PreservedSpecimen,Plantae,,,,Arecaceae,Syagrus,ruschiana,,Syagrus ruschiana,(Bondar) Glassman,"Medeiros, BAS",2013,12,02,,"Medeiros, BAS; Gudin, FM",110,,2013,12,02,,,Brasil,Espírito Santo,Águia Branca,À beira da rodovia ES-334.,-40.762328,-18.997903,-40.762328,-18.997903,,,159,159,,,,,,,,,,SPF00209517,,
2021-03-15 18:25:15-03,USP,SPF,209554,PreservedSpecimen,Plantae,,,,Arecaceae,Syagrus,ruschiana,,Syagrus ruschiana,(Bondar) Glassman,"Medeiros, BAS",2013,11,05,,"Medeiros, BAS; Fonseca, LHM",42,,2013,11,05,,,Brasil,Espírito Santo,Pancas,Inselberg à beira da rodovia ES-341.,-40.879767,-19.231667,-40.879767,-19.231667,,,285,285,,,,,,,,,"Caule cespitoso sobre rocha exposta. Folhas verdes, espata marrom externamente e amarelo-esverdeada internamente, inflorescência amarela. Frutos imaturos globosos, verdes. Mesma população que Medeiros 110.",SPF00209554,,
2015-07-02 14:42:03-03,JBP,HPL,11954,S,Plantae,,,,Arecaceae,Syagrus,ruschiana,,Syagrus ruschiana,,H. Lorenzi,2010,02,08,,"H. Lorenzi, K. Soares, T.B. Flores",6831,,2010,02,08,,,Brasil,MG,Teófilo Ottoni,Na beira da BR 418.,-41.5053,-17.8575,"41° 03#?#04,0 W","17° 52#?#23,4 S",62594,,318,318,,,,,,,,,,,,auto
