MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:44-03,UFES,SAMES,1210,PreservedSpecimen,Plantae,,,,Bignoniaceae,Tabebuia,reticulata,,Tabebuia reticulata,A.H.Gentry,,,,,,"Pinto Junior, H.V.",201,,2015,09,28,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões de Águia Branca.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Arbusto habitando ilha de vegetação em alforamento granítico; folhas verde escuro; flores roxas com estames amarelos; sol pleno.,SAMES01210,,auto
2020-06-29 09:29:50-03,UFRRJ,RBR,3020,S,Plantae,,,,Bignoniaceae,Tabebuia,reticulata,,Tabebuia reticulata,A.H.Gentry,,,,,,A. Gentry,49657,,1985,01,18,,,Brasil,Minas Gerais,Além Paraíba,"'Estrada Além Paraíba - Leopoldina, Leopoldina - Além Paraíba highway, large igneus ''morros'' along road. 22 km N of Além Paraíba, alt. 340 m.21°40#?# S - 42°50#?# W'",-42.7043991088867,-21.8878002166748,,,24865,,,,,,,,,,,,,RBR00003020,RBR00003020,auto
2019-06-10 10:10:24-03,FZB-BH,BHZB,3097,S,Plantae,,,,Bignoniaceae,Tabebuia,reticulata,,Tabebuia reticulata,,M. Assis,2006,09,01,,"Andrade, I.R.",508,,2003,10,13,,,Brasil,MG,Pedra Azul,Bom Jardim,-41.2971992492676,-16.0053005218506,,,39993,,,,,,,,,,,,Endêmica da Caatinga afloramentos do estado de Minas Gerais (espécie Tipo RB 152386). <ll>dwc_commonname:</ll> Ipê de flor rosa,,,auto
2017-11-24 14:10:16-02,UFLA,ESAL,20122,S,Plantae,,,,Bignoniaceae,Tabebuia,reticulata,,Tabebuia reticulata,A.H.Gentry,R.M.Santos,,,,,"Santos, RM",s.n.,,,,,,,Brasil,Minas Gerais,Juvenilia,,-44.1603012084961,-14.2624998092651,0,0,40104,,,,,,,,,,,,árvore; ; ;; caatinga,,,auto
2021-03-15 18:26:08-03,USP,SPF,195089,PreservedSpecimen,Plantae,,,,Bignoniaceae,Tabebuia,reticulata,,Tabebuia reticulata,A.H.Gentry,"Almeida, RF",2010,,,,"Demuner, V",2588,,2006,07,12,,,Brasil,Espírito Santo,Colatina,"Alto Moacir, PropLalau.",-40.552923,-19.339071,-40.552923,-19.339071,,,250,550,,,,,,,,,"Arvoreta, 5 m, botões florais, flores roxas.; Ambiente rupestre",SPF00195089,,
2019-11-13 11:16:55-03,USP,SPF,229612,PreservedSpecimen,Plantae,,,,Bignoniaceae,Tabebuia,reticulata,,Tabebuia reticulata,A.H.Gentry,"Paula, LFA",2016,03,,,"Paula, LFA",916,,2016,03,15,,,Brasil,Espírito Santo,Vila Pavão,,-40.553611,-18.653333,-40.553611,-18.653333,,,173,173,,,,,,,,,,SPF00229612,,
2021-01-22 18:29:53-03,USP,SPF,233160,PreservedSpecimen,Plantae,,,,Bignoniaceae,Tabebuia,reticulata,,Tabebuia reticulata,A.H.Gentry,"Stehmann, JR",2013,02,,,"Teixeira, WA",s.n.,,2012,09,12,,,Brasil,Minas Gerais,Ponto dos Volantes,,-41.421111,-17.005833,-41.421111,-17.005833,,,,,,,,,,,,,,SPF00233160,,
2021-03-15 18:26:08-03,USP,SPF,194995,PreservedSpecimen,Plantae,,,,Bignoniaceae,Tabebuia,reticulata,,Tabebuia reticulata,A.H.Gentry,"Almeida, RF",2010,,,,"Kollmann, L",4344,,2001,08,14,,,Brasil,Espírito Santo,Santa Teresa,Toma Vento.,-40.6002998352051,-19.9356002807617,0,0,23813,,910,910,,,,,,,,,"Arbusto, 2,5 m alt. Flores vináceas.; Rupícola no sol.",SPF00194995,,auto
2021-05-18 10:43:21-03,UEFS,HUEFS,166595,PreservedSpecimen,Plantae,Angiospermae,Asteranae,Lamiales,Bignoniaceae,Tabebuia,reticulata,,Tabebuia reticulata,A.H.Gentry,F.S.Espírito-Santo,2011,08,,,"Harley, R.M.",56194,,2010,11,04,,,Brasil,Bahia,Contendas do Sincorá,"Na beira da estrada próximo a Contendas do Sincorá, na estrada de Sussuarana",-41.0410995483398,-13.7628002166748,,,27330,,,,,,,,,,,,Caatinga,HUEFS0166595,HUEFS0166595,auto
2021-05-18 10:43:21-03,UEFS,HUEFS,109771,PreservedSpecimen,Plantae,Angiospermae,Asteranae,Lamiales,Bignoniaceae,Tabebuia,reticulata,,Tabebuia reticulata,A.H.Gentry,A.R.Zuntini,2014,10,,,"Fontana, A.P.",1536,,2005,07,08,,,Brasil,Espírito Santo,Santa Teresa,"Vale do Canaã, afloramento rochoso com vegetação rupestre, próximo do terreno do Coqueto e Belumat.",-40.6002998352051,-19.9356002807617,,,23813,,,,,,,,,,,,,HUEFS0109771,HUEFS0109771,auto
