MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-09-10 21:42:20-03,UNEMAT,TANG,5779,S,Plantae,,,,Blechnaceae,Telmatoblechnum,serrulatum,,Telmatoblechnum serrulatum,"(Rich) Perrie, D.J.Ohlsen; Brownsey","Engels, ME",2017,03,28,,"Engels, ME; Silva, LS; Freitas, JAO",5059,,2017,03,28,,,Brasil,Mato Grosso,Itaúba,"Resgate de flora da UHE Colíder., Floresta do Planalto dos Parecis, região de ecótono entre a Floresta Amazônica e Cerrado.",-55.416397,-11.081697,-55.416397,-11.081697,,,278,278,,,,,,,,,,TANG000005779,,
2019-12-04 15:26:11-03,PUCPR,HUCP,1840,S,Plantae,Monilofita,,,Blechnaceae,Telmatoblechnum,serrulatum,,Telmatoblechnum serrulatum,"(Rich.) Perrie, Ohlsen & Brownsey","Acra, LA",1989,04,,,"Bochstein, H",020,,1984,10,10,,,Brasil,Paraná,Curitiba,Santa Quitéria,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00000377,HUCP00000377,auto
2019-12-04 15:26:11-03,PUCPR,HUCP,10515,S,Plantae,Monilofita,,,Blechnaceae,Telmatoblechnum,serrulatum,,Telmatoblechnum serrulatum,"(Rich.) Perrie, Ohlsen & Brownsey","Silva, SM",1995,06,,,"Lima, RX",217,,1993,12,06,,,Brasil,Paraná,Guaraqueçaba,Morro do Quitumbe,-48.3288993835449,-25.3066997528076,0,0,37295,,,,,,,,,,,,Local aberto. UPCB Nº 24594.,HUCP00000326,HUCP00000326,auto
2019-12-04 15:26:11-03,PUCPR,HUCP,22464,S,Plantae,Monilofita,,,Blechnaceae,Telmatoblechnum,serrulatum,,Telmatoblechnum serrulatum,"(Rich.) Perrie, Ohlsen & Brownsey","Picoli, AC; Guarda, VA",2012,11,20,,"Picoli, AC; Bohrer, P; Guarda, VA",039,,2012,10,13,,,Brasil,Paraná,Guaraqueçaba,Superagui,-48.3288993835449,-25.3066997528076,0,0,37295,,,,,,,,,,,,,HUCP00000424,HUCP00000424,auto
2019-12-04 15:26:11-03,PUCPR,HUCP,16511,S,Plantae,Monilofita,,,Blechnaceae,Telmatoblechnum,serrulatum,,Telmatoblechnum serrulatum,"(Rich.) Perrie, Ohlsen & Brownsey","Jaszczerski, JC",2005,05,24,,"Fujita, JH; Albiero, N; Ribas, B",004,,2005,04,24,,,Brasil,Paraná,Matinhos,"Estrada Alexandra, Km 20. Trilha Salto do Tigre.",-48.5428009033203,-25.8174991607666,0,0,15275,,,,,,,,,,,,,HUCP00000382,HUCP00000382,auto
2019-12-04 15:26:11-03,PUCPR,HUCP,16526,S,Plantae,Monilofita,,,Blechnaceae,Telmatoblechnum,serrulatum,,Telmatoblechnum serrulatum,"(Rich.) Perrie, Ohlsen & Brownsey","Marques, L",2005,05,24,,"Fujita, JH; Albiero, N; Ribas, B",003,,2005,04,24,,,Brasil,Paraná,Matinhos,"Estrada Alexandra, Km 20. Trilha Salto Tigre.",-48.5428009033203,-25.8174991607666,0,0,15275,,,,,,,,,,,,,HUCP00000387,HUCP00000387,auto
2019-12-04 15:26:11-03,PUCPR,HUCP,23775,S,Plantae,Monilofita,,,Blechnaceae,Telmatoblechnum,serrulatum,,Telmatoblechnum serrulatum,"(Rich.) Perrie, Ohlsen & Brownsey","Matozo, TS",2005,05,10,,"Dunaiski, A",1305,,1999,09,06,,,Brasil,Paraná,Matinhos,Morro da Cruz,-48.5428009033203,-25.8174991607666,0,0,15275,,,,,,,,,,,,Solo degradado. Herbário HFIE Nº 2515.,HUCP00000355,HUCP00000355,auto
2019-12-04 15:26:11-03,PUCPR,HUCP,22866,S,Plantae,Monilofita,,,Blechnaceae,Telmatoblechnum,serrulatum,,Telmatoblechnum serrulatum,"(Rich.) Perrie, Ohlsen & Brownsey","Kersten, RA",2011,09,29,,"Daniel, VA",041,,2011,08,26,,,Brasil,Paraná,Morretes,Rio Sagrado,-48.834400177002,-25.476900100708,0,0,30514,,,,,,,,,,,,,HUCP00000321,HUCP00000321,auto
2019-12-04 15:26:11-03,PUCPR,HUCP,12497,S,Plantae,Monilofita,,,Blechnaceae,Telmatoblechnum,serrulatum,,Telmatoblechnum serrulatum,"(Rich.) Perrie, Ohlsen & Brownsey","Kersten, RA",2006,08,25,,"Alves, E",014,,1996,05,19,,,Brasil,Paraná,Paranaguá,,-48.5092010498047,-25.5200004577637,0,0,24916,,,,,,,,,,,,,HUCP00000437,HUCP00000437,auto
2019-12-04 15:26:11-03,PUCPR,HUCP,1896,S,Plantae,Monilofita,,,Blechnaceae,Telmatoblechnum,serrulatum,,Telmatoblechnum serrulatum,"(Rich.) Perrie, Ohlsen & Brownsey","Acra, LA",1989,04,,,"Casagrande, R",s.n.,,1984,06,,,,Brasil,Paraná,Paranaguá,Balneário Shangrilá,-48.5092010498047,-25.5200004577637,0,0,24916,,,,,,,,,,,,,HUCP00000335,HUCP00000335,auto
