MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:27-03,UFES,SAMES,6202,PreservedSpecimen,Plantae,,,,Melastomataceae,Tibouchina,castellensis,,Tibouchina castellensis,Brade,,,,,,"Pinto Juniro,H.V.; Cruz,G.P.R.;Justino,W.S.",275,,2016,05,26,,,Brasil,Espírito Santo,Castelo,Mirante do Parque.,-41.184700012207,-20.6035995483398,-410908333.0,-205111111.0,23588,,,,,,,,,,,,Folhas verdes; Flores roxas. Habitat: Ilha de vegetação em afloramento rochoso. Habito: Arbusto,SAMES06202,,auto
2021-06-30 13:20:17-03,MBM,MBM,339478,S,Plantae,,,,Melastomataceae,Tibouchina,castellensis,,Tibouchina castellensis,Brade,"Labiak, P.",2007,07,,,"Labiak, P.; et al.; et al.",4216,,2007,07,18,,Southern America,Brazil,Espírito Santo,Castelo,Parque Estadual do Forno Grande.,-41.184700012207,-20.6035995483398,0,0,23588,,1100,1700,,,,,,,,,"Arbusto ca 1m. Sobre as rochas em local exposto ao sol. Afloramentos rochosos, com matas úmidas nos vales.",MBM339478,MBM339478,auto
2021-02-11 17:20:19-03,UFPR,UPCB,82704,PreservedSpecimen,Plantae,,,,Melastomataceae,Tibouchina,castellensis,,Tibouchina castellensis,Brade,"Goldenberg, R.",2015,,,,"Kollmann, L.",9930,,2007,07,17,,,Brasil,Espírito Santo,Itaguaçu,Caparaó,-40.855598449707,-19.8019008636475,,,26990,,1180,1180,,,,,,,,,Arbusto 2m. Rupícola no sol. Flores lilás..,,,auto
2021-02-11 17:20:19-03,UFPR,UPCB,77102,PreservedSpecimen,Plantae,,,,Melastomataceae,Tibouchina,castellensis,,Tibouchina castellensis,Brade.,"Meirelles,J.",2010,,,,"Kollmann, L. | Fontana, A.P. | Esgario, C.",9136,,2006,05,31,,,Brasil,Espírito Santo,Município de Castelo,Parque Estadual do Forno Grande,-41.184700012207,-20.6035995483398,,,23588,,,,,,,,,,,,Arbusto 1m. Rupestre no sol. Flores lilás..,,,auto
2021-02-11 17:20:19-03,UFPR,UPCB,77099,PreservedSpecimen,Plantae,,,,Melastomataceae,Tibouchina,castellensis,,Tibouchina castellensis,Brade.,"Meirelles,J.",2010,,,,"Kollmann, L.",6455,,2004,01,29,,,Brasil,Espírito Santo,Município de Castelo,Parque Estadual do Grande,-41.184700012207,-20.6035995483398,,,23588,,,,,,,,,,,,"Arbusto 1m, rupicola no sol. Flores lilás..",,,auto
2021-06-13 16:41:00-03,NY,NYBG,1015444,PreservedSpecimen,Plantae,Magnoliophyta,,Myrtales,Melastomataceae,Tibouchina,castellensis,,Tibouchina castellensis,Brade,P. H. Labiak E.,,,,,P. H. Labiak E.,4216,,2007,07,18,,South America,Brazil,Espírito Santo,Castelo,Parque Estadual do Forno Grande.,-41.0972,-20.5211,,,,,1100,1700,,,,sheet,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105677' target='other'> <mi>dwc_moreinfo</mi></a>,NY01015444,NY01015444_01,
2021-06-25 18:20:44-03,UFV,VIC,52651,PreservedSpecimen,Plantae,,,,Melastomataceae,Tibouchina,castellensis,,Tibouchina castellensis,Brade,"Junior, H.V.P.",2019,03,25,,"Junior, H.V.P.",448,,2019,02,18,,,Brasil,Espírito Santo,Mimoso do Sul,Pedra de Pontões,-41.3664016723633,-21.0641994476318,0,0,29430,,,,,,,,,,,,"1m de altura, folhas verdes, flores rosa escuro, abundante, sol.",VIC052651,VIC052651,auto
2020-04-27 16:10:35-03,UFES,VIES,13788,S,Plantae,,,,Melastomataceae,Tibouchina,castellensis,,Tibouchina castellensis,Brade,"Iglesias, D.T.",2013,03,02,,"Iglesias, D.T.; Dutra, V.F. & Barros, P.H.D.",140,,2013,03,02,,,Brasil,Espírito Santo,Castelo,Parque Estadual do Forno Grande.,-41.184700012207,-20.6035995483398,,,23588,,,,,,,,,,,,,VIES013788,VIES013788,auto
2021-06-17 11:44:02-03,CVRD,CVRD,11305,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Tibouchina,castellensis,,Tibouchina castellensis,Brade,"Baumgratz, J.F.A.",2011,10,22,,"Folli, D.A.",6117,,2008,06,12,,América do Sul,BRASIL,ES,Castelo,,-41.088539,-20.517453,"-41,088539","-20,517453",,,1280,1280,,,,,,,,,Parque do Forno Grande <ll>dwc_commonname:</ll> Quaresminha lixeira,CVRD011305,,
2020-07-23 12:13:39-03,CEPLAC,CEPEC,129234,PreservedSpecimen,Plantae,,,,Melastomataceae,Tibouchina,castellensis,,Tibouchina castellensis,,P. H. Labiak,,,,,P. H. Labiak,4943,,2008,10,14,,,Brasil,Espírito Santo,castelo,,-41.100556,-20.520556,41W6'2,20S31'14,,,1500,1500,,,,,,,,,<ll>dwc_commonname:</ll>,,,
