MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-08-27 13:31:13-03,IAP,PACA-AGP,115745,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Myrtales,Melastomataceae,Tibouchina,cf. sellowiana,,Tibouchina cf. sellowiana,Cogn.,"Oliveira, A. A. de",2010,05,05,,"Verdi, M.",4151,,2010,02,19,,,Brasil,SC,Lauro Müller,Rio Oratório/Cabo Aereo,-49.499722,-28.35,"49°29'59,00W","28°21'00,00S",,,449,449,,,,,,,,,Florística IFFSC 95 (arbórea); estádio suces.: médio de regeneração; altura: 6m; cor/flor: lilás Habitat: floresta ombrófila densa Hábito: arbórea,PACA115745,,
2019-08-27 13:31:13-03,IAP,PACA-AGP,4416.1,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Myrtales,Melastomataceae,Tibouchina,cf. rupestris,,Tibouchina cf. rupestris,Cogn.,M.L. Souza,1983,,,,"Rambo, B.",,,1941,02,08,,,Brasil,RS,São Francisco de Paula,Fazenda Englert,-50.5835990905762,-29.4480991363525,,,76715,,,,,,,,,,,,Habitat: In campestribus humidis graminosis Fenofase: flor,PACA004416-1,,auto
2021-06-11 14:02:34-03,UFPR,UPCB,87353,PreservedSpecimen,Plantae,,,,Melastomataceae,Tibouchina,cf edmundoi,,Tibouchina cf edmundoi,,"Rocha, K.C.J.",2016,,,,"Goldenberg, R. et al.",2238,,2015,12,02,,,Brasil,Pará,Canaã dos Carajás,"FLONA de Carajás- Serra dos Carajás, Serra Sul - S11 Corpo C. Vegetação aberta sobre canga encouraçada.",-50.368333,-6.3925,-50.368333,-6.392500,,,688,688,,,,,,,,,"Arbusto 1,7m. Frutos imaturos castanho-claros..",,,
2021-06-11 14:02:34-03,UFPR,UPCB,87550,PreservedSpecimen,Plantae,,,,Melastomataceae,Tibouchina,cf. edmundoi,,Tibouchina cf. edmundoi,,,,,,,"Mota, N.F.O. et al.",3397,,2015,06,23,,,Brasil,Pará,Parauapebas,"Floresta Nacional de Carajás - Serra dos Carajás, Serra Norte - N2. Campo rupestre de canga arbustiva.",-50.253889,-6.054444,-50.253889,-6.054444,,,678,678,,,,,,,,,"Arvoreta na margem da mata, junto a canga. Muito frequente na canga arbustiva, floração em massa. Até 6m de altura, apresentando apenas folhas bem jovens no ápice dos ramos. Cálice verde, corola rosa. Filete e estilete brancos, passando a rosados..",,,
2021-02-11 17:20:26-03,UFPR,UPCB,93007,PreservedSpecimen,Plantae,,,,Melastomateceae,Tibouchina,cf. heteromalla,,Tibouchina cf. heteromalla,(D.Don) Cogn.,"Paula, L.F.A.",2016,03,15,,"Paula, L.F.A.|Azevedo, L.O.|Forzza, R.C.",920,,2016,03,15,,,Brasil,Esperito Santo,Vila Pavão,Povoado de Figueira,-40.553611,-18.653333,-40.553611,-18.653333,,,173,173,,,,,,,,,"Em ilha de vegetaçãosobre inselberg.. Arbórea, folhas discolores, pétalas roxas com base alva.",UPCB0036270,UPCB0036270,
2019-06-10 10:11:10-03,FZB-BH,BHZB,2844,S,Plantae,,,,Melastomataceae,Tibouchina,cf. frigidula,,Tibouchina cf. frigidula,,,,,,,"Rezende, S.G. & Werneck, M.",84,,2003,11,01,,,Brasil,MG,Nova Lima,Vale dos Cristais,-43.8466987609863,-19.9855995178223,,,29211,,,,,,,,,,,,,,,auto
2019-06-10 10:11:10-03,FZB-BH,BHZB,5226,S,Plantae,,,,Melastomataceae,Tibouchina,cf. granulosa,,Tibouchina cf. granulosa,,L.A.Echternacht,2005,09,,,"Santos, V.M.",,,2005,06,01,,,Brasil,MG,Belo Horizonte,FZB/BH - Área de visitação.,-43.937801361084,-19.9207992553711,,,17082,,,,,,,,,,,,"Corola, gineceu e estames roxos, cálice verde. Com duplicata.",,,auto
2019-06-10 10:11:10-03,FZB-BH,BHZB,3730,S,Plantae,,,,Melastomataceae,Tibouchina,cf. herbacea,,Tibouchina cf. herbacea,,"Echternacht,L.A",2005,04,,,"Souza, M.A.",,,2002,05,03,,,Brasil,MG,Ouro Preto,Estação Ecológica do Tripuí,-43.5080986022949,-20.2875003814697,,,44599,,,,,,,,,,,,,,,auto
2019-06-10 10:11:10-03,FZB-BH,BHZB,5200,S,Plantae,,,,Melastomataceae,Tibouchina,cf. herbacea,,Tibouchina cf. herbacea,,L.A.Echternacht,,,,,"Echternacht, L.A.",132,,2005,05,18,,,Brasil,MG,Belo Horizonte,FZB/BH,-43.937801361084,-19.9207992553711,,,17082,,,,,,,,,,,,Corola lilás. Com duplicata.,,,auto
2019-06-10 10:11:10-03,FZB-BH,BHZB,4175,S,Plantae,,,,Melastomataceae,Tibouchina,cf. lithophila,,Tibouchina cf. lithophila,,Paulo Guimarães,2006,05,,,"Lutterbach, A.",3,,2003,10,14,,,Brasil,MG,Pedra Azul,"Pedra Bom Jardim, Faz. Bom Jardim",0,-16.059167,41W 17' 65,16S 03' 33,,,2573,2573,,,,,,,,,"Carpoteca 846. 16°03,33 S - 41°17'65 W. 2573 ft de altitude. Com duplicata.",,,
