MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-11-04 08:56:14-03,UFPI-MRV,HDELTA,6146,PreservedSpecimen,Plantae,,,,Trigoniaceae,Trigonia,nivea,,Trigonia nivea,Cambess.,"Araújo, L.S.",2018,08,19,,"Araújo, L.S.; Lemos, J.R.",278,,2018,08,19,,,Brasil,Piauí,Murici dos Portelas,,-42.0938987731934,-3.31889009475708,,,25662,,,,,,,,,,,,,HDELTA006146,,auto
2020-11-04 08:56:14-03,UFPI-MRV,HDELTA,4826,PreservedSpecimen,Plantae,,,,Trigoniaceae,Trigonia,nivea,,Trigonia nivea,Cambess.,"Aguiar, D.S.",,,,,"Araujo, J. ; Lemos, J.R.",4,,2015,11,25,,,Brasil,Piauí,Parnaíba,Carpina,-41.7766990661621,-2.90472006797791,,,25571,,,,,,,,,,,,<ll>dwc_commonname:</ll> Folha branca,HDELTA004826,,auto
2020-11-04 08:56:14-03,UFPI-MRV,HDELTA,4066,PreservedSpecimen,Plantae,,,,Trigoniaceae,Trigonia,nivea,,Trigonia nivea,Cambess.,"Lima, G.A.",,,,,"Amorim. E.G.; Lima, G.A.",24,,2014,10,03,,,Brasil,Piauí,Parnaíba,Embrapa,-41.7766990661621,-2.90472006797791,,,25571,,,,,,,,,,,,<ll>dwc_commonname:</ll> Folha-branca,HDELTA004066,,auto
2020-11-04 08:56:14-03,UFPI-MRV,HDELTA,3968,PreservedSpecimen,Plantae,,,,Trigoniaceae,Trigonia,nivea,,Trigonia nivea,Cambess.,s/d.,,,,,"Amorim, E.G.",7,,2014,05,16,,,Brasil,Piauí,Parnaíba,EMBRAPA,-41.7766990661621,-2.90472006797791,,,25571,,,,,,,,,,,,<ll>dwc_commonname:</ll> Folha branca,HDELTA003968,,auto
2020-11-04 08:56:14-03,UFPI-MRV,HDELTA,3962,PreservedSpecimen,Plantae,,,,Trigoniaceae,Trigonia,nivea,,Trigonia nivea,Cambess.,s/d.,,,,,"Amorim, E.G.",31,,2014,12,16,,,Brasil,Piauí,Parnaíba,EMBRAPA,-41.7766990661621,-2.90472006797791,,,25571,,,,,,,,,,,,,HDELTA003962,,auto
2020-11-04 08:56:14-03,UFPI-MRV,HDELTA,3189,PreservedSpecimen,Plantae,,,,Trigoniaceae,Trigonia,nivea,,Trigonia nivea,Cambess.,"Farias, P.P.P.",2016,01,10,,"Farias, P.P.P.; Lima, G.A.",14,,2015,01,10,,,Brasil,Piauí,Parnaíba,EMBRAPA,-41.7766990661621,-2.90472006797791,,,25571,,,,,,,,,,,,<ll>dwc_commonname:</ll> Folha branca,HDELTA003189,,auto
2019-12-04 15:25:56-03,PUCPR,HUCP,13742,S,Plantae,Eudicotiledonea,,,Trigoniaceae,Trigonia,nivea,,Trigonia nivea,Cambess.,"Hatschbach, GG",,,,,"Silva, JM; Garcia, C",1938,,1997,04,24,,,Brasil,Paraná,Cerro Azul,Mato Preto,-49.261100769043,-24.823600769043,0,0,32006,,,,,,,,,,,,,HUCP00019845,HUCP00019845,auto
2019-12-04 15:25:56-03,PUCPR,HUCP,19779,S,Plantae,Eudicotiledonea,,,Trigoniaceae,Trigonia,nivea,,Trigonia nivea,Cambess.,"Selusniaki, M",,,,,"Selusniaki, M",2027,,2008,01,,,,Brasil,São Paulo,Mairiporã,Mato Dentro,-46.5800018310547,-23.3099994659424,0,0,15840,,,,,,,,,,,,,HUCP00019850,HUCP00019850,auto
2020-02-08 09:57:18-03,NBC,NL-BOTANY,L.4209694,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Trigoniaceae,Trigonia,nivea,,Trigonia nivea,Cambess.,,,,,,Stannard BL; Ganev W; Queiroz RF,,,1992,03,15,,Southern America,Brazil,,,Bahia. Mun. Abaira: Arredores de Catoles.,-41.85,-13.283333,-41.85,-13.283333,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4209694 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L4209694,NL-L4209694,
2020-02-08 09:57:18-03,NBC,NL-BOTANY,U.1743712,PreservedSpecimen,Plantae,,Magnoliopsidae,Malpighiales,Trigoniaceae,Trigonia,nivea,fasciculata,Trigonia nivea fasciculata,,,,,,,Harley RM; et al.,,,1974,01,16,,Southern America,Brazil,,,Estado De Bahia. ca. 6 km North of the town of Rio de Contas on road to Abaira.,-41.783333,-13.55,-41.783333,-13.55,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1743712 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1743712,NL-U1743712,
