MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2020-02-08 10:15:09-03,NBC,NL-BOTANY,U.1601228,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Trilepis,lhotzkiana,,Trilepis lhotzkiana,Nees ex Arn.,Goetghebeur P,1987,05,01,,Harley RM,,,1977,03,02,,Southern America,Brazil,Bahia,,"19.5 km SE of the town of Morro do Chapeu on the BA052 road to Mundo Novo, by the Rio Ferro Doido.",-41.033333,-11.633333,-41.033333,-11.633333,,,,,,,,,,,,,"With water worn horizontally-bedded sandstone at soil surface, with damp sand, sedge marsh, exposed rock & waterfall. Vegetation: open scrub to closed low woodland in the drier areas.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1601228 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NL-U1601228,NL-U1601228,
2020-02-08 10:15:09-03,NBC,NL-BOTANY,U.1293807,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Trilepis,lhotzkiana,,Trilepis lhotzkiana,Nees ex Arn.,,,,,,Harley RM; et al.,,,1977,03,06,,Southern America,Brazil,,,Brazil: Estado Da Bahia. Milagres. Morro de Couro or Morro São Cristivão.,-39.866667,-12.9,-39.866667,-12.9,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1293807 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1293807,NL-U1293807,
2020-02-08 10:15:09-03,NBC,NL-BOTANY,U.1293808,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Cyperaceae,Trilepis,lhotzkiana,,Trilepis lhotzkiana,Nees ex Arn.,,,,,,Maas PJM; Cid Ferreira CA; Guedes de Oliveira J; Lima J,,,1987,10,11,,Southern America,Brazil,,,"Plants of Brazil. Brazil. Amazonas: Rio Negro, Serra Jacamim, less than 1 km from margin of Rio Negro.",-65.483333,-0.316667,-65.483333,-0.316667,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1293808 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1293808,NL-U1293808,
2021-03-24 17:08:59-03,UFES,SAMES,1214,PreservedSpecimen,Plantae,,,,Cyperaceae,Trilepis,lhotzkiana,,Trilepis lhotzkiana,Nees ex Arn.,,,,,,"Pinto Junior, H.V.; Covre, C.",150,,2015,06,25,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões de Águia Branca.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,Erva habitando ilha de vegetação em afloramento rochoso; folhas amareladas; inflorescência diminuta; abundante; sol pleno.,SAMES01214,,auto
2021-03-24 17:08:59-03,UFES,SAMES,6233,PreservedSpecimen,Plantae,,,,Cyperaceae,Trilepis,lhotzkiana,robusta,Trilepis lhotzkiana robusta,H.Pfeiff.,,,,,,"Pinto Junior,H.V.; Cruz,G.P.R;Justino,W.S.",289,,2016,05,26,,,Brasil,Espírito Santo,Castelo,,-41.184700012207,-20.6035995483398,-410544444.0,-203066667.0,23588,,,,,,,,,,,,"Folhas amarelas, inflorescência diminuta. Habito: Erva",SAMES06233,,auto
2021-03-24 17:08:59-03,UFES,SAMES,1692,PreservedSpecimen,Plantae,,,,Cyperaceae,Trilepis,lhotzkiana,,Trilepis lhotzkiana,Nees ex Arn.,,,,,,"Pinto Junior, H.V.; Covre, C.",270,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Erva habitando ilha de vegetação em afloramento rochoso; folhas amarelas; sol; abundante.,SAMES01692,,auto
2021-03-24 17:08:59-03,UFES,SAMES,1245,PreservedSpecimen,Plantae,,,,Cyperaceae,Trilepis,lhotzkiana,,Trilepis lhotzkiana,Nees ex Arn.,,,,,,"Menezes, L.F.T.; Pinto Junior, H.V.; Covre, C.; Ribeiro, I.F.",2172,,,,,,,Brasil,Espírito Santo,Nova Venécia,Sítio Santa Rita. Propriedade do Sr. Paulo Sales.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,"Planta terrestre, solo granítico; com flores.",SAMES01245,,auto
2021-03-24 17:08:59-03,UFES,SAMES,1219,PreservedSpecimen,Plantae,,,,Cyperaceae,Trilepis,lhotzkiana,,Trilepis lhotzkiana,Nees ex Arn.,,,,,,"Pinto Junior, H.V.; Menezes, L.F.T.; Covre, C.; Ribeiro, I.F.",140,,2015,05,28,,,Brasil,Espírito Santo,Nova Venécia,"Sítio Santa Rita. Propriedade do Sr. Paulo Sales, próximo à APA Pedra do Elefante.",-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Herbácea habitando afloramento rochoso; sol pleno; inflorescência diminuta.,SAMES01219,,auto
2021-05-17 15:37:39-03,UNICAMP,UEC,27308,S,Plantae,Liliopsida,,,Cyperaceae,Trilepis,lhotzkiana,,Trilepis lhotzkiana,Nees ex Arn.,"Koyama, T",1978,,,,"Harley, RM; Mayo, SJ; Storr, RM; Santos, TS; Pinheiro, RS",19425,,1977,03,06,,,Brazil,Bahia,,"Serra do Jatobá, Milagres. Morro de Couro or Morro São Criostovão. Granite outcropping rock with soil in crevices.",-39.866667,-12.9,-39.866667,-12.9,,,500,600,,,,,,,,,Cushion - forming low sedge growing on bare rock.,UEC075760,UEC075760,
2021-06-07 16:26:19-03,UNICAMP,UEC,27307,S,Plantae,Liliopsida,,,Cyperaceae,Trilepis,lhotzkiana,,Trilepis lhotzkiana,Nees ex Arn.,"Mayo, SJ",1978,,,,"Harley, RM; Mayo, SJ; Storr, RM; Santos, TS; Pinheiro, RS",19256,,1977,03,01,,,Brazil,Bahia,Morro do Chapéu,"19.5 km SE of the town of Morro do Chapéu on the BA 052 road to Mundo Novo, by the Rio Ferro Doido, with watter worn horizontally-bedded sandstone at soil surface, with damp sand, sedge marsh, exposed rock & waterfall. Vegetation: open scrub to close",-41.354475,-11.901903,-41.354475,-11.901903,,,,,,,,,,,,,Tufted sedge with curled leaves forming low cushions between rocks. Leaves dull green. Spikelets very dark brown.,UEC075757,UEC075757,
