MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:10:06-03,UFES,SAMES,8200,PreservedSpecimen,Plantae,,,,Turneraceae,Turnera,rubrobracteata,,Turnera rubrobracteata,Arbo,,,,,,"Pinto Junior,H.V.; W.S.Justino.;T.Sperandio.",378,,2018,03,20,,,Brasil,Espírito Santo,Águia Branca,REGIÃOS DOS 3 PONTÕES DE ÁGUIA BRANCA.,-40.7402992248535,-18.9831008911133,-407122222.0,-189786111.0,19701,,,,,,,,,,,,"Palmeira,frutos laranjas, sol, habitando ilha de vegetação em inselberg.",SAMES08200,,auto
2021-03-24 17:10:06-03,UFES,SAMES,1669,PreservedSpecimen,Plantae,,,,Turneraceae,Turnera,rubrobracteata,,Turnera rubrobracteata,Arbo,"Forzza, R.C.",2016,06,01,,"Pinto Junior, H.V.; Covre, C.",256,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,"Arbusto de 1,5 m habitando ilha de vegetação em afloramento rochoso; folhas verdes crenadas; flores vermelhas vistosas; sol; abundante.",SAMES01669,,auto
2021-06-30 13:28:43-03,MBM,MBM,392860,S,Plantae,,,,Turneraceae,Turnera,rubrobracteata,,Turnera rubrobracteata,Arbo,"Rocha, L.",2012,10,09,,"Fontana, A.P.; Kollman, L.; Labiak, P.; Schwartsburd, P.B.; Kollman, L.; Labiak, P.; Schwartsburd, P.B.",5787,,2009,01,14,,Southern America,Brazil,Espírito Santo,Nova Venécia,"Área de Proteção Ambiental da Pedra do Elefante, Serra de Baixo, morro do lado direito na estrada para a Pedra do Elefante",-40.4475,-18.77,-40.4475,-18.77,,,300,600,,,,,,,,,"Arbusto, ca. 1,5m. Flores rosadas com brácteas vermelhas.; Afloramento rochoso. Inselbergue.",MBM392860,MBM392860,
2021-06-30 13:28:43-03,MBM,MBM,392861,S,Plantae,,,,Turneraceae,Turnera,rubrobracteata,,Turnera rubrobracteata,Arbo,"Rocha, L.",2013,05,,,"Fontana, A.P.; Kollman, L.; Fraga, C.N.; Kollman, L.; Fraga, C.N.",4853,,2008,02,19,,Southern America,Brazil,Espírito Santo,Nova Venécia,"Serra de Baixo, Pedra do Elefante",-40.4625,-18.766944,-40.4625,-18.766944,,,401,653,,,,,,,,,"Arbusto, ca. 1,8m, rupestre no sol. Brácteas florais vermelhas. Flores branco-rosadas. Frutos verdes.; Inselbergue.",MBM392861,MBM392861,
2021-06-30 13:28:43-03,MBM,MBM,422790,S,Plantae,,,,Turneraceae,Turnera,rubrobracteata,,Turnera rubrobracteata,Arbo,"Barboza, E.",2019,06,26,,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.",3454,,2019,04,06,,Southern America,Brazil,Espírito Santo,Nova Venécia,Pedra do Elefante,-40.456944,-18.766389,-40.456944,-18.766389,,,590,590,,,,,,,,,Subarbusto com 70 cm de altura; flor rósea.; Refúgio Vegetacional Altomontano (campo de altitude e vegetação rupícola).,MBM422790,,
2021-06-30 13:28:43-03,MBM,MBM,422905,S,Plantae,,,,Turneraceae,Turnera,rubrobracteata,,Turnera rubrobracteata,Arbo,"Brotto, M.L.",2019,06,26,,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.",3518,,2019,04,08,,Southern America,Brazil,Espírito Santo,Pancas,"Pico do Vidal, cume",-40.793333,-19.187222,-40.793333,-19.187222,,,700,700,,,,,,,,,"Arbusto com 1,5 m de altura; brácteas vermelhas, corola branca.; Refúgio Vegetacional Altomontano (vegetação rupícola).",MBM422905,,
2019-06-27 10:27:00-03,UFES,VIES,38922,S,Plantae,,,,Turneraceae,Turnera,rubrobracteata,,Turnera rubrobracteata,Arbo,,,,,,"Pena, N.T.L.; Amaral, R.N. & Moraes, Q.S.",354,,2015,07,29,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES038922,VIES038922,auto
2019-06-27 10:27:00-03,UFES,VIES,41116,S,Plantae,,,,Turneraceae,Turnera,rubrobracteata,,Turnera rubrobracteata,Arbo,,,,,,"Alves-Araújo, A.; Pena, N.T.L",1858,,2016,03,07,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES041116,VIES041116,auto
2019-06-27 10:27:00-03,UFES,VIES,41121,S,Plantae,,,,Turneraceae,Turnera,rubrobracteata,,Turnera rubrobracteata,Arbo,,,,,,"Pena, N.T.L.; Alves-Araújo, A; Sossai, B.G; Silverio, A.",397,,2015,09,11,,,Brasil,Espírito Santo,Nova Venécia,APA Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,,VIES041121,VIES041121,auto
2021-05-18 11:16:26-03,UEFS,HUEFS,191842,PreservedSpecimen,Plantae,Angiospermae,Rosanae,Malpighiales,Turneraceae,Turnera,rubrobracteata,,Turnera rubrobracteata,Arbo,,,,,,"Saavedra, M.M.",640,,2008,01,14,,,Brasil,Espírito Santo,São Roque do Canaã,"Distrito Alto Santa Júlia, localidade Misterioso, Pedra dos Três Carneiros.",-40.7575,-19.770833,40W45'27'',19S46'15'',,,632,632,,,,,,,,,,HUEFS0191842,HUEFS0191842,
