MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:09:42-03,UFES,SAMES,9728,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Pereira,O.J.; Barboza,L.C.;Lemes,B.X.;Penha,J.S.",8456,,2018,11,07,,,Brasil,Espírito Santo,Aracruz,,-40.2733001708984,-19.8202991485596,-399313889.0,-196972222.0,37987,,,,,,,,,,,,Trepadeira. Botão verde.,SAMES09728,,auto
2021-03-24 17:09:42-03,UFES,SAMES,9647,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.; Firmino, A.",9240,,2019,08,22,,,Brasil,Espírito Santo,Aracruz,,-40.2733001708984,-19.8202991485596,-399305556.0,-196975000.0,37987,,,,,,,,,,,,Trepadeira. Botão verde. Habitat: Restinga holocênica. Formação arbustiva aberta não inundável. Habito: Trepadeira,SAMES09647,,auto
2021-03-24 17:09:42-03,UFES,SAMES,9861,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.",8488,,2018,11,19,,,Brasil,Espírito Santo,Conceição da Barra,,-39.7322006225586,-18.5932998657227,-397327778.0,-186219445.0,41644,,,,,,,,,,,,"Planta trepadeira. Flor esverdeada, labelo albo, internamente amarelado. Habitat: Restinga Holocênica. Formação arbustiva fechada não inundável. Habito: Trepadeira",SAMES09861,,auto
2021-03-24 17:09:42-03,UFES,SAMES,6358,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Jesus,M.C.F.",445,,2011,02,11,,,Brasil,Espírito Santo,Linhares,Pontal do Ipiranga,-40.0722007751465,-19.3910999298096,-403530556.0,-192238889.0,48094,,,,,,,,,,,,"Com flores brancas e amarelas, frutos verdes, com látex viscoso. Habito: Rasteira",SAMES06358,,auto
2021-03-24 17:09:42-03,UFES,SAMES,4460,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,"Ribeiro,M.",2011,01,27,,"Giaretta,A.O.; Tesch,A.C.;Bomfim,F.R.M.;Kredio,A.R.",389,,2008,11,22,,,Brasil,Espírito Santo,São Mateus,"Bairro Liberdade. Fragmento de mata de restinga seca de 2,5 hectares, localizado à margem da estrada principal do bairro Liberdade. Entrada localizada após o hospital Roberto Silvares no sentido SM - Guriri.",-39.8588981628418,-18.716100692749,-398102778.0,-187422222.0,56510,,,,,,,,,,,,Planta de flores brancas sem odor.,SAMES04460,,auto
2021-03-24 17:09:42-03,UFES,SAMES,9356,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Barboza, L.C.; Metzker, T.P.;Moschem, J.C.;Ronchi, C.;Lopes, L.R.",23,,2019,06,11,,,Brasil,Espírito Santo,São Mateus,Praia de Guriri lado Norte.,-39.8588981628418,-18.716100692749,-397472222.0,-187252778.0,56510,,,,,,,,,,,,Planta trepadeira. Flor esverdeada sem odor. Habitat: Restinga holocênica. Formação arbustiva fechada não inundável. Habito: Trepadeira,SAMES09356,,auto
2021-03-24 17:09:42-03,UFES,SAMES,9069,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Pereira, O.J.; Penha, J.S.; Lemes, B.X.",8296,,2018,10,01,,,Brasil,Espírito Santo,Conceição da Barra,APA de Conceição da Barra. Restinga holocênica. APA de Conceição da Barra,-39.7322006225586,-18.5932998657227,-397350000.0,-186269445.0,41644,,,,,,,,,,,,"Planta terrestre, fruto verde.",SAMES09069,,auto
2021-03-24 17:09:42-03,UFES,SAMES,9070,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Pereira, O.J.; Penha, J.S.; Lemes, B.X.",8323,,2018,10,03,,,Brasil,Espírito Santo,Conceição da Barra,APA de Conceição da Barra. Restinga holocênica. APA de Conceição da Barra,-39.7322006225586,-18.5932998657227,-397450000.0,-186802778.0,41644,,,,,,,,,,,,"Trepadeira, fruto verde.",SAMES09070,,auto
2021-03-24 17:09:42-03,UFES,SAMES,9860,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.",8687,,2018,12,06,,,Brasil,Espírito Santo,Linhares,Distrito de Pontal do Ipiranga.,-40.0722007751465,-19.3910999298096,-397072222.0,-191908333.0,48094,,,,,,,,,,,,"Planta trepadeira, flor esverdeada. Habitat: Restinga holocênica. Formação arbustiva não inundável. Habito: Trepadeira",SAMES09860,,auto
2021-03-24 17:09:42-03,UFES,SAMES,9732,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Pereira, O.J.; Lemes, B.X.; Penha, J.S.",8940,,2019,02,21,,,Brasil,Espírito Santo,Linhares,Distrito Regência. Reserva Biológica Comboios,-40.0722007751465,-19.3910999298096,-398880555.0,-196686111.0,48094,,,,,,,,,,,,Trepadeira. Botão esverdeado Habitat: Restinga Holocênica. Formação florestal não inundável Habito: Trepadeira,SAMES09732,,auto
2021-03-24 17:09:42-03,UFES,SAMES,9859,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.",8668,,2018,12,05,,,Brasil,Espírito Santo,Linhares,Praia de Cacimbas.,-40.0722007751465,-19.3910999298096,-397383333.0,-194841666.0,48094,,,,,,,,,,,,"Trepadeira, flor com peças florais albo-esverdeadas.",SAMES09859,,auto
2021-03-24 17:09:42-03,UFES,SAMES,10070,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Pereira, O.J.; Lemes, B.X.; Penha, J.S.",8967,,2019,03,11,,,Brasil,Espírito Santo,Linhares,Reserva Biológica de Comboios. Restinga Holocênica. Reserva Biológica de Comboios,-40.0722007751465,-19.3910999298096,-398877777.0,-196702778.0,48094,,,,,,,,,,,,Trepadeira. Flor albo esverdeada. Labelo interno amarelo claro. Habitat: Formação arbustiva aberta não inundável,SAMES10070,,auto
2021-03-24 17:09:42-03,UFES,SAMES,9809,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Pereira, O.J.; Lemes, B.X.; Penha, J.S.",8745,,2018,12,11,,,Brasil,Espírito Santo,São Mateus,Aldeia do Coco.,-39.8588981628418,-18.716100692749,-397488889.0,-187950000.0,56510,,,,,,,,,,,,"Flor branco-esverdeada, ápice interno do labelo amarelado Habitat: Restinga Holocênica. Formação arbustiva aberta não inundável Habito: Trepadeira",SAMES09809,,auto
2021-03-24 17:09:42-03,UFES,SAMES,9858,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.",8568,,2018,11,22,,,Brasil,Espírito Santo,São Mateus,Barra Nova.,-39.8588981628418,-18.716100692749,-397391666.0,-189591667.0,56510,,,,,,,,,,,,"Planta trepadeira, terrestre, fruto verde e flor esverdeada com labelo branco/amarelado. Habitat: Restinga holocênica. Formação arbustiva aberta não inundável. Habito: Trepadeira",SAMES09858,,auto
2021-03-24 17:09:42-03,UFES,SAMES,4461,PreservedSpecimen,Plantae,,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Menezes,L.F.T.; Sá,C.F.C.;Ribeiro,R.;Faria,M.B.;Giaretta,A.O.",1603,,2007,03,13,,,Brasil,Espírito Santo,São Mateus,Barra Nova. Estrada que liga Guriri a Barra Nova. Floresta de cordão arenoso não inundável.,-39.8588981628418,-18.716100692749,-397441666.0,-189436111.0,56510,,,,,,,,,,,,"Planta rastejante, com flores verde claro.",SAMES04461,,auto
2021-05-17 15:38:48-03,UNICAMP,UEC,95332,S,Plantae,Liliopsida,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,"Pansarin, ER",2006,07,,,"Pansarin, ER; Singer, RB",97/78,,1997,11,08,,,Brazil,São Paulo,Jundiaí,"Serra do Japi, Bairro Eloy Chaves, próximo à represa do DAE.",-46.8800010681152,-23.1800003051758,0,0,17840,,,,,,,,,,,,,UEC001541,UEC001541,auto
2021-05-17 15:38:48-03,UNICAMP,UEC,98563,S,Plantae,Liliopsida,,,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,"Pansarin, ER",2005,02,,,"Marcondes-Ferreira, W; Belinello, R; Semir, J; Dutilh, JHA; Nakajima, JN; Hind, DJN",1676,,1997,11,07,,,Brazil,São Paulo,Pedregulho,"Igaçaba, Morro Solteiro, Mata de encosta em morro de arenito.",-47.4700012207031,-20.25,0,0,27552,,,,,,,,,,,,Flores creme esverdeado.,UEC001543,UEC001543,auto
2020-04-22 16:26:40-03,UFPB,JPB,15434,PreservedSpecimen,Plantae,Angiosperma,,Monocotyledon,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,"Felix, LP",1990,05,03,,"Felix, LP; Santana, ES",2855,,1990,03,08,,Southern America,Brasil,Paraíba,Mamanguape,"Reserva Biológica Guaribas, Tarama. Sema II.",-35.142056,-6.741861,-35.142056,-6.741861,,,181,181,,,,,,,,,; DESC: Terreste e epifíta. Erva reptante. Planta em botão. Flores não observadas. Frequente em tabuleiros e carrasco.,,,
2020-04-22 16:26:40-03,UFPB,JPB,49155,PreservedSpecimen,Plantae,Angiosperma,,Monocotyledon,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,,,,,,"Gadelha Neto, PC; Lima, IB; Pontes, RA; Silva, CS",3133,,2011,11,17,,Southern America,Brasil,Paraíba,Mataraca,"Millennium Inorganic Chemicals Mineração Ltda, Substrato arenoso.",-34.976944,-6.502222,-34.976944,-6.502222,,,,,,,,,,,,,"; HABITAT: Restinga arbustiva; DESC: Erva reptante de folhas simples, alternas, sésseis, carnosas. Caule cilíndrico suculento. Flor axilar.",JPB0049155,,
2020-04-22 16:26:40-03,UFPB,JPB,50637,PreservedSpecimen,Plantae,Angiosperma,,Monocotyledon,Orchidaceae,Vanilla,bahiana,,Vanilla bahiana,Hoehne,"Moreira, LHL",2018,07,22,,"Araújo, CMLR; Pontes, RA",315,,2011,11,10,,Southern America,Brasil,Paraíba,Santa Rita,"Usina São João, Lagoa do Paturi, próximo a Tibirizinho.",-34.978056,-7.114167,-34.978056,-7.114167,,,16,16,,,,,,,,,; HABITAT: Mata Atlântica.; DESC: Trepadeira.,JPB0050637,,
