MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2018-11-21 10:17:28-02,BGBM,B,B 10 0517331,S,Plantae,,,,Velloziaceae,Vellozia,candida,,Vellozia candida,Mikan,R. Mello-Silva,1998,03,,,"R.M. Harley, B.L. Stannard, D.J.N. Hind, C. Kameyama, J. Prado, P. Rudall, R. Simao, N. Taylor & D. Zappi",RMH 25170,,1988,10,18,,Middle and South America,Brazil,,,"Minas Gerais. Mun.: Pedra Azul. 8km ao O. da cidade, na estrada para a Rodovia BR116.",-41.3666648865,-15.9499998093,-41.3666648865,-15.9499998093,,,750,750,,,,,,,,,"Habitat: Lajedo de rocha granítica. Sôbre rochas.. arbusto com cerca de 2m de altura, formando grandes touceiras, tépalas alvas, estigma e anteras amarelas, flores perfumadas <a href=http://herbarium.bgbm.org/object/B100517331 target",B100517331,,
2021-03-24 17:10:06-03,UFES,SAMES,1194,PreservedSpecimen,Plantae,,,,Velloziaceae,Vellozia,candida,,Vellozia candida,J.C.Mikan,,,,,,"Pinto Junior, H.V.; Covre, C.",147,,2015,06,25,,,Brasil,Espírito Santo,Águia Branca,Região dos 3 pontões de Águia Branca.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Herbácea habitando ilha de vegetação em afloramento rochoso. Folhas verdes, flores brancas com ovário capsular evidente na base da flor. Abundante, sol pleno.",SAMES01194,,auto
2021-03-24 17:10:06-03,UFES,SAMES,1174,PreservedSpecimen,Plantae,,,,Velloziaceae,Vellozia,candida,,Vellozia candida,J.C.Mikan,,,,,,"Pinto Junior, H.V.; Covre, C.; Ribeiro, I.F.",215,,2015,11,26,,,Brasil,Espírito Santo,Águia Branca,"Região dos Três Pontões de Águia Branca, afloramento da dissertação do Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Herbácea habitando ilha de vegetação em afloramento granítico; folhas verdes; flores brancas, estames amarelos e ovário capsular evidente; abundante, sol pleno.",SAMES01174,,auto
2021-03-24 17:10:06-03,UFES,SAMES,6201,PreservedSpecimen,Plantae,,,,Velloziaceae,Vellozia,candida,,Vellozia candida,J.C.Mikan,,,,,,"Pinto Juniro,H.V.; Cruz,G.P.R.;Justino,W.S.",281,,2016,05,26,,,Brasil,Espírito Santo,Castelo,Mirante do Parque.,-41.184700012207,-20.6035995483398,-410908333.0,-205111111.0,23588,,,,,,,,,,,,"Folhas verdes; fruto em cápsula, seco. Habitat: Ilha de vegetação em afloramento rochoso. Habito: Herbáceo",SAMES06201,,auto
2021-03-24 17:10:06-03,UFES,SAMES,1178,PreservedSpecimen,Plantae,,,,Velloziaceae,Vellozia,candida,,Vellozia candida,J.C.Mikan,,,,,,"Pinto Junior, H.V.",180,,2015,09,03,,,Brasil,Espírito Santo,Mimoso do Sul,Conceição do Muqui. Pedra de pontões.,-41.3664016723633,-21.0641994476318,,,29430,,,,,,,,,,,,"Arbusto habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores brancas, ovário capsular evidente; abundante, sol pleno.",SAMES01178,,auto
2021-03-24 17:10:06-03,UFES,SAMES,1157,PreservedSpecimen,Plantae,,,,Velloziaceae,Vellozia,candida,,Vellozia candida,J.C.Mikan,,,,,,"Pinto Junior, H.V.; Justino, W.S.",208,,2015,12,04,,,Brasil,Espírito Santo,Mimoso do Sul,Conceição do Muqui. Pedra de pontões.,-41.3664016723633,-21.0641994476318,,,29430,,,,,,,,,,,,"Arbusto habitando ilha de vegetação em afloramento granítico; frutos verdes; folhas verdes; flores brancas, estames amarelos; sol pleno.",SAMES01157,,auto
2021-03-24 17:10:06-03,UFES,SAMES,1686,PreservedSpecimen,Plantae,,,,Velloziaceae,Vellozia,candida,,Vellozia candida,J.C.Mikan,,,,,,"Pinto Junior, H.V.; Covre, C.",249,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,"Arbusto habitando ilha de vegetação em afloramento rochoso; abundante; folhas verdes; flores brancas, anteras amarelas.",SAMES01686,,auto
2021-03-24 17:10:06-03,UFES,SAMES,8239,PreservedSpecimen,Plantae,,,,Velloziaceae,Vellozia,candida,,Vellozia candida,J.C.Mikan,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",417,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Folhas verdes, fruto capsular alongado, sol , abundante, habitando ilha de vegetação inselberg.",SAMES08239,,auto
2021-05-17 15:39:48-03,UNICAMP,UEC,59229,S,Plantae,Liliopsida,,,Velloziaceae,Vellozia,candida,,Vellozia candida,J.C.Mikan,"Mello-Silva, R",2003,06,,,"Meirelles, ST",23207,,1990,01,07,,,Brazil,Rio de Janeiro,Rio de Janeiro,Pedra do Itanhangá,-43.2075004577637,-22.9027996063232,0,0,57442,,,,,,,,,,,,,UEC000816,UEC000816,auto
2021-06-30 13:28:53-03,MBM,MBM,422795,S,Plantae,,,,Velloziaceae,Vellozia,candida,,Vellozia candida,J.C. Mikan,"Barboza, E.",2019,06,26,,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.",3459,,2019,04,06,,Southern America,Brazil,Espírito Santo,Nova Venécia,Pedra do Elefante,-40.456944,-18.766389,-40.456944,-18.766389,,,590,590,,,,,,,,,Erva rupícola; flor branca.; Refúgio Vegetacional Altomontano (campo de altitude e vegetação rupícola).,MBM422795,,
