MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:10:06-03,UFES,SAMES,1163,PreservedSpecimen,Plantae,,,,Velloziaceae,Vellozia,plicata,,Vellozia plicata,Mart.,,,,,,"Pinto Junior, H.V.; Covre, C.",148,,2015,06,25,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões de Águia Branca.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Herbácea habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores brancas, estames amarelos; abundante; sol pleno.",SAMES01163,,auto
2021-03-24 17:10:06-03,UFES,SAMES,1175,PreservedSpecimen,Plantae,,,,Velloziaceae,Vellozia,plicata,,Vellozia plicata,Mart.,,,,,,"Pinto Junior, H.V.; Covre, C.; Ribeiro, I.F.",214,,2015,11,26,,,Brasil,Espírito Santo,Águia Branca,"Região dos Três Pontões de Águia Branca, afloramento da dissertação do Herval.",-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Herbácea habitando ilha de vegetação em afloramento granítico; folhas verdes; flores brancas, estames amarelos; abundante, sol pleno.",SAMES01175,,auto
2021-03-24 17:10:06-03,UFES,SAMES,8240,PreservedSpecimen,Plantae,,,,Velloziaceae,Vellozia,plicata,,Vellozia plicata,Mart.,,,,,,"Pinto Junior,H.V.; W.S.Justiuno.;T.Sperandio.;Menezes,L.F.T.",418,,2018,03,22,,,Brasil,Espírito Santo,Vila Pavão,PEDRA DO VIADINHO.,-40.611400604248,-18.6149997711182,-405558333.0,-186230556.0,19647,,,,,,,,,,,,"Folhas verdes, fruto capsular alongado, sol , habitando ilha de vegetação inselberg.",SAMES08240,,auto
2020-04-22 16:26:58-03,UFPB,JPB,38741,PreservedSpecimen,Plantae,Angiosperma,,Monocotyledon,Velloziaceae,Vellozia,plicata,,Vellozia plicata,Mart.,"Lima, IB",2013,08,07,,"Lima, IB; Delgado-Júnior, GC; Barbosa, MR",965,,2008,03,20,,Southern America,Brasil,Paraíba,São José dos Cordeiros,"RPPN Fazenda Almas, Manga da Cabeça dos Cachorros. Área I. Lajedo do Aveloz.",-35.893778,-7.469361,-35.893778,-7.469361,,,625,625,,,,,,,,,"; HABITAT: Caatinga.; DESC: Erva ca. de 0,2-1,5m de altura. Flores brancas. Frutos verdes.",,,
2020-04-22 16:26:58-03,UFPB,JPB,42731,PreservedSpecimen,Plantae,Angiosperma,,Monocotyledon,Velloziaceae,Vellozia,plicata,,Vellozia plicata,Mart.,"Lima, IB",2013,08,07,,"Costa, RMT; Delgado-Júnior, GC; Barbosa, MR",82,,2010,04,24,,Southern America,Brasil,Paraíba,São José dos Cordeiros,"RPPN Fazenda Almas, Lajedo Cumaru",-36.890083,-7.47625,-36.890083,-7.47625,,,,,,,,,,,,,; HABITAT: Caatinga.,JPB0042731,,
2020-04-22 16:26:58-03,UFPB,JPB,42716,PreservedSpecimen,Plantae,Angiosperma,,Monocotyledon,Velloziaceae,Vellozia,plicata,,Vellozia plicata,Mart.,"Lima, IB",2013,08,07,,"Costa, RMT; Delgado-Júnior, GC; Lourenço, AR",67,,2010,03,27,,Southern America,Brasil,Paraíba,São José dos Cordeiros,"RPPN Fazenda Almas, Lajedo Cumaru",-36.890083,-7.47625,-36.890083,-7.47625,,,,,,,,,,,,,; HABITAT: Caatinga.,JPB0042716,,
2020-04-22 16:26:58-03,UFPB,JPB,31341,PreservedSpecimen,Plantae,Angiosperma,,Monocotyledon,Velloziaceae,Vellozia,plicata,,Vellozia plicata,Mart.,"Lima, IB",2013,08,07,,"Quirino, ZG",36,,2003,03,04,,Southern America,Brasil,Paraíba,São José dos Cordeiros,RPPN Fazenda Almas,-36.8975,-7.470833,-36.8975,-7.470833,,,645,645,,,,,,,,,,,,
2020-04-22 16:26:58-03,UFPB,JPB,30596,PreservedSpecimen,Plantae,Angiosperma,,Monocotyledon,Velloziaceae,Vellozia,plicata,,Vellozia plicata,Mart.,"Lima, IB",2013,08,07,,"Barbosa, MR; Lima, IB; Quirino, ZG; Pessoa, MC; Pereira, MS",2594,,2002,09,07,,Southern America,Brasil,Paraíba,São José dos Cordeiros,"RPPN Fazenda Almas, Manga da Cabeça dos Cachorros, trilha do reino encantado de Comadre florzinha, lajedo da mocinha.",-36.889722,-7.476389,-36.889722,-7.476389,,,737,737,,,,,,,,,"; DESC: Erva ereta 60 cm de alt., cuspitosa frutos já abertos",,,
2021-06-30 13:28:55-03,MBM,MBM,421368,S,Plantae,,,,Velloziaceae,Vellozia,plicata,,Vellozia plicata,Mart.,"Campos-Rocha, A.",2019,03,23,,"Campos-Rocha, A.; Comin, M.; Comin, M.",2389,,2019,03,07,,Southern America,Brazil,Minas Gerais,Aimorés,,-41.093611,-19.4275,-41.093611,-19.4275,,,99,99,,,,,,,,,"Herbácea ca. 1.3 m, frutos cápsulas marrons.; Afloramento rochoso",MBM421368,,
2019-06-10 10:11:47-03,FZB-BH,BHZB,4230,S,Plantae,,,,Velloziaceae,Vellozia,plicata,,Vellozia plicata,,"R, Mello-Silva",2015,12,,,"Andrade, I.R.",,,2003,11,01,,,Brasil,MG,Jaíba,Furados,-43.6744003295898,-15.3382997512817,,,47016,,,,,,,,,,,,Em cultivo nas coleções.Caatinga sobre afloramento inundável. Anteriormente identificada como Nanuza sp.,,,auto
