MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:10:06-03,UFES,SAMES,6203,PreservedSpecimen,Plantae,,,,Velloziaceae,Vellozia,variegata,,Vellozia variegata,Goethart & Henrard,,,,,,"Pinto Juniro,H.V.; Cruz,G.P.R.;Justino,W.S.",274,,2016,05,26,,,Brasil,Espírito Santo,Castelo,Mirante do Parque.,-41.184700012207,-20.6035995483398,-410908333.0,-205111111.0,23588,,,,,,,,,,,,Folhas verdes; flores roxas. Habitat: Ilha de vegetação em afloramento rochoso. Habito: Herbáceo,SAMES06203,,auto
2021-03-24 17:10:06-03,UFES,SAMES,1156,PreservedSpecimen,Plantae,,,,Velloziaceae,Vellozia,variegata,,Vellozia variegata,Goethart & Henrard,,,,,,"Pinto Junior, H.V.; Justino, W.S.",207,,2015,12,04,,,Brasil,Espírito Santo,Mimoso do Sul,Conceição do Muqui. Pedra de pontões.,-41.3664016723633,-21.0641994476318,,,29430,,,,,,,,,,,,"Arbusto habitando afloramento granítico; folhas verdes; flores roxas, estames amarelos; abuntante; sol;.",SAMES01156,,auto
2021-03-24 17:10:06-03,UFES,SAMES,1680,PreservedSpecimen,Plantae,,,,Velloziaceae,Vellozia,variegata,,Vellozia variegata,Goethart & Henrard,,,,,,"Pinto Junior, H.V.; Covre, C.",236,,2016,03,21,,,Brasil,Espírito Santo,Nova Venécia,Pedra do Elefante. Vertente leste da Pedra do Elefante.,-40.4006004333496,-18.710599899292,,,42400,,,,,,,,,,,,Arbusto habitando ilha de vegetação em afloramento rochoso; folhas verdes; flores roxas com estames amarelos; abundante.,SAMES01680,,auto
2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0014871,PreservedSpecimen,Plantae,Magnoliophyta,,Pandanales,Zosteraceae,Vellozia,variegata,,Vellozia variegata,Goethart & Henrard,R. M. Silva & N. Menezes,,,,,G. Hatschbach; J. M. Silva,49961,,1985,10,19,,,Brazil,Espirito Santo,,pedra Azul (mun.Domingos Martina),-40.95,-20.433333,,,,,,,,,,,,,,,"Ramosa, 1 m, pétalas lilas anteras amarelas. Campo rupestre, paradoes, rochosos.",,,
2021-06-30 13:28:55-03,MBM,MBM,302085,S,Plantae,,,,Velloziaceae,Vellozia,variegata,,Vellozia variegata,Goethart & Henrard,"Mello-Silva, R.",2004,,,,"Mello-Silva, R.; Forzza, R.C.; Temponi, L.G.; Calió, M.F.A.; Forzza, R.C.; Temponi, L.G.; Calió, M.F.A.",2644,,2004,06,17,,Southern America,Brazil,Rio de Janeiro,Santa Maria Madalena,"Morro da Torre, No perímetro urbano",-42.0175,-21.9675,-42.0175,-21.9675,,,1004,1004,,,,,,,,,"Grandes populações na rochas expostas. Indivíduos até 50 cm de altura. Folhas espirotrísticas, retas. Frutos maduros castanhos.; Encosta do alto do morro. Afloramentos rochosos com Alcantarea, Pitcairnia encholorioides (Bromeliaceae)",MBM302085,MBM302085,
2021-06-30 13:28:55-03,MBM,MBM,321077,S,Plantae,,,,Velloziaceae,Vellozia,variegata,,Vellozia variegata,Goethart & Henrard,"Mello-Silva, R.",,,,,"Jardim, J.G.; Aguiar, C.; Sant'Ana, S.C.; Juchum, F.; Aguiar, C.; Sant'Ana, S.C.; Juchum, F.",2812,,2000,02,24,,Southern America,Brazil,Bahia,Santa Terezinha,"14,5 km na rodovia Elísio Medrado/Sta. Teresinha. Torre da Embratel, ca. 7 km do Distrito de Pedra Branca. Serra da Giboia",-39.475833,-12.853611,-39.475833,-12.853611,,,,,,,,,,,,,"Subarbuso ca. 60 cm alt. Folhas verdes concolores. Flores com corola lilás. Frutos imatuos verdes, ferrugíneos.; Campos de Altitude.",MBM321077,MBM321077,
2021-06-30 13:28:55-03,MBM,MBM,415190,S,Plantae,,,,Velloziaceae,Vellozia,variegata,,Vellozia variegata,Goethart & Henrard,"Völtz, R.R.",2018,11,26,,"Völtz, R.R.; Brotto, M.L.; Brotto, M.L.",1972,,2015,03,30,,Southern America,Brazil,Rio de Janeiro,São Fidélis,"Parque Estadual do Desengano, Serra Itacolomi, morro Pedra do Macaco",-41.8675,-21.848056,-41.8675,-21.848056,,,1485,1485,,,,,,,,,"Subarbusto 0,3 m alt. crescendo sobre rochas; flores azuladas; fisionomia herbácea de topo de morro.; Refúgio Vegetacional Altomontano.",MBM415190,MBM415190,
2021-06-30 13:28:55-03,MBM,MBM,158745,S,Plantae,,,,Velloziaceae,Vellozia,variegata,,Vellozia variegata,Goethart & Henrard,"Queiróz, L.P. de",,,,,"Queiróz, L.P. de; et al.; et al.",2947,,,,,,Southern America,Brazil,Bahia,Castro Alves,Serra da Jibóia,-39.4282989501953,-12.7656002044678,0,0,26883,,,,,,,,,,,,,MBM158745,MBM158745,auto
2021-06-30 13:28:55-03,MBM,MBM,84993,S,Plantae,,,,Velloziaceae,Vellozia,variegata,,Vellozia variegata,Goethart & Henrard,"Mello-Silva, R.",,,,,"Hatschbach, G.; et al.; et al.",46886,,,,,,Southern America,Brazil,Espírito Santo,Domingos Martins,Pedra Azul,-40.6591987609863,-20.3633003234863,0,0,48150,,,,,,,,,,,,,MBM084993,MBM084993,auto
2021-06-30 13:28:55-03,MBM,MBM,103562,S,Plantae,,,,Velloziaceae,Vellozia,variegata,,Vellozia variegata,Goethart & Henrard,"Mello-Silva, R.; Menezes, N.L.",,,,,"Hatschbach, G.; Silva, J.M.; Silva, J.M.",49961,,,,,,Southern America,Brazil,Espírito Santo,Domingos Martins,Pedra Azul,-40.6591987609863,-20.3633003234863,0,0,48150,,,,,,,,,,,,,MBM103562,MBM103562,auto
