MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:24:55-03,PUCPR,HUCP,6175,S,Plantae,Eudicotiledonea,,,Asteraceae,Vernonanthura,discolor,,Vernonanthura discolor,(Spreng) H.Rob.,"Vargas, LA",,,,,"Vargas, LA",042,,1992,,,,,Brasil,Parana,Telêmaco Borba,Parque Ecológico Klabin,-50.6156005859375,-24.3239002227783,0,0,35037,,,,,,,,,,,,,HUCP00008818,HUCP00008818,auto
2019-12-04 15:24:55-03,PUCPR,HUCP,6619,S,Plantae,Eudicotiledonea,,,Asteraceae,Vernonanthura,discolor,,Vernonanthura discolor,(Spreng) H.Rob.,"Acra, LA",,,,,"Cardoso, H",017,,1991,03,16,,,Brasil,Paraná,Araucária,Tomás Coelho,-49.4103012084961,-25.5930995941162,0,0,21346,,,,,,,,,,,,,HUCP00008814,HUCP00008814,auto
2019-12-04 15:24:55-03,PUCPR,HUCP,16733,S,Plantae,Eudicotiledonea,,,Asteraceae,Vernonanthura,discolor,,Vernonanthura discolor,(Spreng) H.Rob.,"Selusniaki, M",,,,,"Selusniaki, M",456,,2005,06,25,,,Brasil,Paraná,Curitiba,"Augusta, Próximo ao Parque Passaúna.",-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP0000862,,auto
2019-12-04 15:24:55-03,PUCPR,HUCP,16717,S,Plantae,Eudicotiledonea,,,Asteraceae,Vernonanthura,discolor,,Vernonanthura discolor,(Spreng) H.Rob.,"Selusniaki, M",,,,,"Selusniaki, M",435,,2005,06,25,,,Brasil,Paraná,Curitiba,Bosque da Fazendinha,-49.2731018066406,-25.4277992248535,0,0,25180,,,,,,,,,,,,,HUCP00008630,HUCP00008630,auto
2019-12-04 15:24:55-03,PUCPR,HUCP,13123,S,Plantae,Eudicotiledonea,,,Asteraceae,Vernonanthura,discolor,,Vernonanthura discolor,(Spreng) H.Rob.,"Nakajima, JN",,,,,"Viani, RAG",015,,1999,10,16,,,Brasil,Paraná,Telêmaco Borba,,-50.6156005859375,-24.3239002227783,0,0,35037,,,,,,,,,,,,Nº 25974.,HUCP00008587,HUCP00008587,auto
2019-12-04 15:24:55-03,PUCPR,HUCP,200,S,Plantae,Eudicotiledonea,,,Asteraceae,Vernonanthura,discolor,,Vernonanthura discolor,(Spreng) H.Rob.,"Hatschbach, GG",1982,09,14,,"Kummrow, R",2014,,,,,,,Brasil,Paraná,Tijucas do Sul,Matulão,-49.1988983154297,-25.9281005859375,0,0,25228,,,,,,,,,,,,,HUCP00008870,HUCP00008870,auto
2020-02-08 08:52:01-03,NBC,NL-BOTANY,U 0078400,PreservedSpecimen,Plantae,,Magnoliopsidae,Asterales,Compositae,Vernonanthura,discolor,,Vernonanthura discolor,(Spreng.) H.Rob.,,,,,,Reitz R,,,1961,01,01,,Southern America,Brazil,Santa Catarina,,,-53.733333,-26.533333,-53.733333,-26.533333,,,,,,,,,,,,Uw6970,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200078400 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U0078400,,
2019-08-27 13:28:04-03,IAP,PACA-AGP,109935,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Asterales,Compositae,Vernonanthura,discolor,,Vernonanthura discolor,(Spreng.) H. Rob.,A. Stival-Santos,2009,06,17,,A. Stival-Santos,738,,2009,06,17,,,Brasil,SC,Água Doce,Três Pinheiros.,-51.572778,-26.641667,51°34'22W,26°38'30S,,,1228,1228,,,,,,,,,FURB 12956 Habitat: interior de mata Fenofase: botão Hábito: arbórea Ecossistema: Floresta Ombrófila Mista,PACA109935,,
2019-08-27 13:28:04-03,IAP,PACA-AGP,110402,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Asterales,Compositae,Vernonanthura,discolor,,Vernonanthura discolor,(Spreng.) H. Rob.,A.L. de Gasper,2010,06,24,,J.L. Schmitt,2759,,2010,06,11,,,Brasil,SC,Ponte Alta,Morro do Funil.&nf;orro do Funil.,-50.132222,-27.275,50°07'56W,27°16'30S,,,1131,1131,,,,,,,,,FURB 26667 Habitat: interior do fragmento Fenofase: botão floral verde Hábito: arbustiva Ecossistema: Floresta Ombrófila Mista,PACA110402,,
2019-08-27 13:28:04-03,IAP,PACA-AGP,118662,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Asterales,Compositae,Vernonanthura,discolor,,Vernonanthura discolor,(Spreng.) H. Rob.,"Verdi, M.",2010,03,16,,"Verdi, M.",5381,,2010,08,16,,,Brasil,SC,Santa Cecília,"br116(km130), proximo ao posto ceolla",-50.433333,-26.889722,50º26'0w,26º53'23s,,,1157,1157,,,,,,,,,furb 32329 Habitat: floresta ombrófila mista; interior do fragmento,PACA118662,,
2019-08-27 13:28:04-03,IAP,PACA-AGP,86033,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliatae,Asterales,Compositae,Vernonanthura,discolor,,Vernonanthura discolor,(Spreng.) H. Rob.,R.A. Wasum,,,,,R.A. Wasum,1165,,2001,10,13,,,Brasil,RS,São Francisco de Paula,RS-235,-50.5835990905762,-29.4480991363525,,,76715,,830,830,,,,,,,,,HUCS 18055 Habitat: em beira de estrada,PACA086033,,auto
2021-05-17 15:46:13-03,UNICAMP,UEC,129947,S,Plantae,Magnoliopsida,,,Asteraceae,Vernonanthura,discolor,,Vernonanthura discolor,(Spreng.) H.Rob.,,,,,,Prado; Macedo; Almeida; Lewinsohn,PIC95508,,1995,09,30,,,Brazil,Rio Grande do Sul,Cambará do Sul,Estrada para Tainhas,-50.644167,-29.474444,-50.644167,-29.474444,,,,,,,,,,,,,,UEC133306,UEC133306,
