MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:26-03,PUCPR,HUCP,21966,S,Plantae,Monocotiledonea,,,Bromeliaceae,Vriesea,procera,,Vriesea procera,(Mart. ex Schult. & Schult.f.) Wittm.,"Kersten, RA",,,,,"Kersten, RA",1432,,2010,06,04,,,Brasil,Paraná,Morretes,,-48.834400177002,-25.476900100708,0,0,30514,,,,,,,,,,,,,,,auto
2020-02-08 10:12:35-03,NBC,NL-BOTANY,L.3737272,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Bromeliaceae,Vriesea,procera,,Vriesea procera,(Mart. ex Schult.f.) Whittm.,,,,,,Jansen-Jacobs MJ; et al.,,,2004,11,25,,Southern America,Surinam,,,"Marowijne Distr., Lely Mts., Airstrip, Plateau.",-54.74,4.270556,-54.74,4.270556,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3737272 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3737272,NL-L3737272,
2020-02-08 10:12:35-03,NBC,NL-BOTANY,L.3737273,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Bromeliaceae,Vriesea,procera,,Vriesea procera,(Mart. ex Schult.f.) Whittm.,,,,,,Jansen-Jacobs MJ; et al.,,,2004,11,25,,Southern America,Surinam,,,"Marowijne Distr., Lely Mts., Airstrip, Plateau.",-54.74,4.270556,-54.74,4.270556,,,,,,,,,,,,,<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3737273 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-L3737273,NL-L3737273,
2020-02-08 10:12:35-03,NBC,NL-BOTANY,U.1174530,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Bromeliaceae,Vriesea,procera,,Vriesea procera,(Mart. ex Schult.f.) Whittm.,Gouda EJ,2005,03,01,,Clarke HD; Rhodes J,,,2004,03,10,,Southern America,Surinam,,,,-56.5,4.6,-56.5,4.6,,,,,,,,,,,,U 0115552,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174530 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1174530,NL-U1174530,
2020-02-08 10:12:35-03,NBC,NL-BOTANY,U.1174531,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Bromeliaceae,Vriesea,procera,,Vriesea procera,(Mart. ex Schult.f.) Whittm.,Gouda EJ,2005,03,01,,Clarke HD; Rhodes J,,,2004,03,10,,Southern America,Surinam,,,,-56.5,4.6,-56.5,4.6,,,,,,,,,,,,U 0115551,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174531 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1174531,NL-U1174531,
2020-02-08 10:12:35-03,NBC,NL-BOTANY,U.1174536,PreservedSpecimen,Plantae,,Magnoliopsidae,Poales,Bromeliaceae,Vriesea,procera,,Vriesea procera,(Mart. ex Schult.f.) Whittm.,Gouda EJ,,,,,Henkel TW; Williams (Guyana) R,,,1993,05,06,,Southern America,Guyana,Cuyuni-Mazaruni,,2-4 km W of Essequibo River from juncture with Kamwatta Creek,-59.666667,6.433333,-59.666667,6.433333,,,,,,,,,,,,U 0064485,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174536 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1174536,NL-U1174536,
2021-03-31 10:25:59-03,UFPI,TEPB,21376,PreservedSpecimen,Plantae,,,,Bromeliaceae,Vriesea,procera,,Vriesea procera,(Martius ex. Schult.f.)Witt.,M. G. L. Wanderley,2005,04,15,,G. M. SOUSA,486,,2001,03,13,,,Brasil,Rio de Janeiro,Carapebús,Parque Nacional da Restinga de Jurubatiba. Próximo a lagoa de Carapabeús,-41.591111,-22.246667,41°35'28W,22°14'48S,,,,,,,,,,,,,Epífita. Folhas verde com bainha roxa. Escapo vermelho. Bracteas do escapo vermelha de ápice verde.Bráctea floral vermelha de ápice amarela. Sépalas e pétalas amarelas. Ambiente: Restinga Arbustiva aberta,,,
2019-08-27 13:25:17-03,IAP,PACA-AGP,69829,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Bromeliales,Bromeliaceae,Vriesea,procera,,Vriesea procera,(Mart. ex Schult. & Schult.f.) Wittm.,E. Pereira,1978,,,,E. Santos,1603,,1963,02,17,,,Brasil,ES,Vila Velha,Praia da Costa,-40.2924995422363,-20.3297004699707,,,27156,,,,,,,,,,,,"VULNERÁVEL. Brácteas e ráquis vermelhos, flores verde amareladas. Herb. PEL 4239. Habitat: Epifita.",PACA069829,,auto
2019-08-27 13:25:17-03,IAP,PACA-AGP,92421,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Bromeliales,Bromeliaceae,Vriesea,procera,,Vriesea procera,(Mart. ex Schult. & Schult.f.) Wittm.,M. Haussen,,,,,M. Haussen,,,1988,01,15,,,Brasil,RS,Barra do Ribeiro,Ponta da Formiga,-51.3011016845703,-30.2910995483398,,,31686,,,,,,,,,,,,VULNERÁVEL&nf;Rara. HASU 702. Habitat: Na mata. Fenofase: flor Hábito: erva epífita,PACA092421,,auto
2019-08-27 13:25:17-03,IAP,PACA-AGP,92420,PreservedSpecimen,Plantae,Magnoliophyta,Liliatae,Bromeliales,Bromeliaceae,Vriesea,procera,,Vriesea procera,(Mart. ex Schult. & Schult.f.) Wittm.,M. Haussen,,,,,M. Haussen,,,1988,01,20,,,Brasil,RS,Capão da Canoa,Próximo ao Morro Alto.,-50.0097007751465,-29.7455997467041,,,15808,,,,,,,,,,,,"VULNERÁVEL&nf;HASU 703. Habitat: Na mata, paludosa. Fenofase: flor Hábito: erva epífita",PACA092420,,auto
