MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2021-03-24 17:08:50-03,UFES,SAMES,1200,PreservedSpecimen,Plantae,,,,Bromeliaceae,Vriesea,vellozicola,,Vriesea vellozicola,Leme & J.A.Siqueira,,,,,,"Pinto Junior, H.V.; Covre, C.",146,,2015,06,25,,,Brasil,Espírito Santo,Águia Branca,Região dos Três Pontões de Águia Branca.,-40.7402992248535,-18.9831008911133,,,19701,,,,,,,,,,,,"Herbácea habitando ilha de vegetação em afloramento rochoso, folhas verdes maculadas, inflorescência verde, sol pleno.",SAMES01200,,auto
2021-06-25 18:18:41-03,UFV,VIC,052599,PreservedSpecimen,Plantae,,,,Bromeliaceae,Vriesea,vellozicola,,Vriesea vellozicola,(Hoehne) Porto & Brade,,,,,,H.V. Pinto Junior; et al.,498,,2019,01,24,,,Brasil,Espírito Santo,Vila pavão,"Pedra do Veadinho, Inselberg granitico.",-40.611400604248,-18.6149997711182,0,0,19647,,,,,,,,,,,,"Planta de cerca de 30 cm ,ila de vegetação, folhas acinzentadas com máculas,fruto passado, sol.",VIC052599,VIC052599,auto
2021-07-05 15:40:19-03,MN,R,215822,PreservedSpecimen,Plantae,,,,Bromeliaceae,Vriesea,vellozicola,,Vriesea vellozicola,Leme & J.A. Siqueira,"Coser, T.S.",2012,,,,"Coser, T.S. 626; Francino, D.M.T.",,,2012,03,01,,,Brasil,Espírito Santo,Água Doce do Norte,,-40.9785995483398,-18.5468997955322,,,23951,,,,,,,,,,,,,R010019875,R010019875,auto
2020-12-11 11:43:36-03,UFMG,BHCB,159416,PreservedSpecimen,Plantae,Monocotyledon,,,Bromeliaceae,Vriesea,vellozicola,,Vriesea vellozicola,Leme & J.A. Siqueira,,2013,10,,,"De Paula, LFA; Mota, NFO; Viana, PL; Jorge, TB; Burkowski, PM",89,,2011,01,08,,Southern America,Brasil,Minas Gerais,Teófilo Otoni,"MG-418, Lado esquerdo da rodovia MG 418, cerca de 30 km norte de Teófilo Otoni",-41.260833,-17.856111,-41.260833,-17.856111,,,560,560,,,,,,,,,Erva epífita em Vellozia. Folhas verdes com matizes roxas a negras. Frutos imaturos verdes; Afloramento rochoso. Ilha de vegetação em inselbergue,BHCB018425,,
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,21728,,Plantae,,,,Bromeliaceae,Vriesea,vellozicola,,Vriesea vellozicola,Leme & J.A.Siqueira,L. Kollmann/12-11-2004,,,,,R.R. Vervloet; et al,2596,,2003,12,24,,,Brasil,Espírito Santo,São Roque do Canaã,Misterioso,-40.739444,-19.760833,40W44'22,19S45'39,,,,,,,,,,,,,"Epífita, em Velloziaceae, folhas de cor verde com maculas vinho, escapo floral de cor vinho, calice e fruto ainda imaturos de cor verde. Topo da pedra. Altitude 700m",MBML021728,MBML021728,
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,22241,,Plantae,,,,Bromeliaceae,Vriesea,vellozicola,,Vriesea vellozicola,Leme & J.A.Siqueira,L. Kollmann/12-11-2004,,,,,L. Kollmann; et al,6552,,2004,03,27,,,Brasil,Espírito Santo,São Roque do Canaã,Alto Misterioso,-40.775278,-19.796944,40W46'31,19S47'49,,,,,,,,,,,,,Epífita em vellozia. Folhas verdes com pintas pretas.,MBML022241,MBML022241,
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,22675,,Plantae,,,,Bromeliaceae,Vriesea,vellozicola,,Vriesea vellozicola,Leme & J.A.Siqueira,L. Kollmann/12-11-2004,,,,,A. P. Fontana; et al,655,,2003,12,20,,,Brasil,Espírito Santo,São Roque do Canaã,Misterioso,-40.739444,-19.760833,40W44'22,19S45'39,,,,,,,,,,,,,"Épifita, heliófila, folhas verdes foscas, com pintas roxas. Frutos verdes.",MBML022675,MBML022675,
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,23405,,Plantae,,,,Bromeliaceae,Vriesea,vellozicola,,Vriesea vellozicola,Leme & J.A.Siqueira,,,,,,L. Kollmann; et al,7236,,2004,10,24,,,Brasil,Espírito Santo,São Roque do Canaã,"Misterioso, Pedra dos Três Carneiros",-40.739444,-19.760833,40W44'22,19S45'39,,,,,,,,,,,,,"Epífita em Vellozia. Flores amarelas, folhas com pintas pretas.",MBML023405,MBML023405,
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,24043,,Plantae,,,,Bromeliaceae,Vriesea,vellozicola,,Vriesea vellozicola,Leme & J.A.Siqueira,,,,,,A. P. Fontana; et al,1061,,2004,11,14,,,Brasil,Espírito Santo,São Roque do Canaã,Alto Misterioso,-40.775278,-19.796944,40W46'31,19S47'49,,,,,,,,,,,,,"Epífita sobre velloziaceae, heliófila, flores amarelas, folhas verdes com pintas vináceo.",MBML024043,MBML024043,
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,26240,,Plantae,,,,Bromeliaceae,Vriesea,vellozicola,,Vriesea vellozicola,Leme & J.A.Siqueira,L. Kollmann/21-12-2006,,,,,"V. Demuner; L.F.S. Magnago, M. Belizário, Elias Bausen",1640,,2006,01,18,,,Brasil,Espírito Santo,Marilândia,"Liberdade (Água.Viva, Pedra do Cruzeiro), Prop.: Aguilar A. Lovucini",-40.551111,-19.348333,40W33'4,19S20'54,,,150,150,,,,,,,,,"Epífita, frutos verdes. Solo raso, sore rocha, (cruzeiro a gruta).",MBML026240,MBML026240,
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,27383,,Plantae,,,,Bromeliaceae,Vriesea,vellozicola,,Vriesea vellozicola,Leme & J.A.Siqueira,L. Kollmann/21-12-2006,,,,,"V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen",2928,,2006,10,18,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, prop.: Ciro Ferreira",-40.665556,-18.977778,40W39'56,18S58'40,,,170,170,,,,,,,,,"Herbácea, botões florais amarelos. Vegetação rupestre.",MBML027383,MBML027383,
2020-07-10 09:44:51-03,MBML,MBML-HERBARIO,29462,,Plantae,,,,Bromeliaceae,Vriesea,vellozicola,,Vriesea vellozicola,Leme,T.S. Coser & T. Wendt/30-08-2008,,,,,"V. Demuner; T. Cruz, M. Belizário e Elias Bausen.",3313,,2007,03,21,,,Brasil,Espírito Santo,Marilândia,"Liberdade (Água Viva, Pedra do Cruzeiro), propr.: Aguilar A. Lorenccini",-40.551111,-19.348333,40W33'4,19S20'54,,,650,650,,,,,,,,,"Epífita frutos verdes. Afloramento rochoso, leve camada de substrato.",MBML029462,MBML029462,
2020-07-10 09:44:56-03,MBML,MBML-HERBARIO,29611,,Plantae,,,,Bromeliaceae,Vriesea,vellozicola,,Vriesea vellozicola,Leme & J.A.Siqueira,T.S. Coser & T. Wendt/30-08-2008,,,,,"V. Demuner; T. Cruz, M. Belizário e Elias Bausen.",3471,,2007,04,03,,,Brasil,Espírito Santo,Águia Branca,"Santa Luzia, propr.: Ciro Ferreira",-40.664444,-18.973889,40W39'52,18S58'26,,,400,400,,,,,,,,,"Herbácea frutos verdes, folhas com máculas vináceas. Afloramento rochoso.",MBML029611,MBML029611,
