MODIFIED,INSTITUTIONCODE,COLLECTIONCODE,CATALOGNUMBER,BASISOFRECORD,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIFICEPITHET,INFRASPECIFICEPITHET,SCIENTIFICNAME,SCIENTIFICNAMEAUTHORSHIP,IDENTIFIEDBY,YEARIDENTIFIED,MONTHIDENTIFIED,DAYIDENTIFIED,TYPESTATUS,RECORDEDBY,RECORDNUMBER,FIELDNUMBER,YEAR,MONTH,DAY,EVENTTIME,CONTINENTOCEAN,COUNTRY,STATEPROVINCE,COUNTY,LOCALITY,DECIMALLONGITUDE,DECIMALLATITUDE,VERBATIMLONGITUDE,VERBATIMLATITUDE,COORDINATEPRECISION,BOUNDINGBOX,MINIMUMELEVATIONINMETERS,MAXIMUMELEVATIONINMETERS,MINIMUMDEPTHINMETERS,MAXIMUMDEPTHINMETERS,SEX,PREPARATIONTYPE,INDIVIDUALCOUNT,PREVIOUSCATALOGNUMBER,RELATIONSHIPTYPE,RELATEDCATALOGITEM,OCCURRENCEREMARKS,BARCODE,IMAGECODE,GEOFLAG
2019-12-04 15:26:39-03,PUCPR,HUCP,24454,S,Plantae,Monocotiledonea,,,Orchidaceae,Zygopetalum,maculatum,,Zygopetalum maculatum,Paxton.,,,,,,"Santos, TF",043,,2014,08,19,,,Brasil,Paraná,Balsa Nova,,-49.6356010437012,-25.5839004516602,0,0,27346,,,,,,,,,,,,,,,auto
2019-12-04 15:26:39-03,PUCPR,HUCP,22305,S,Plantae,Monocotiledonea,,,Orchidaceae,Zygopetalum,maculatum,,Zygopetalum maculatum,Paxton.,"Kersten, RA; Lozano, E",,,,,"Lozano, E; Selusniaki, M",243,,2010,04,01,,,Brasil,Paraná,Campina Grande do Sul,,-49.0553016662598,-25.3055992126465,0,0,55154,,,,,,,,,,,,,HUCP00006248,HUCP00006248,auto
2021-03-24 17:09:42-03,UFES,SAMES,6200,PreservedSpecimen,Plantae,,,,Orchidaceae,Zygopetalum,maculatum,,Zygopetalum maculatum,(Kunth) Garay,,,,,,"Pinto Juniro,H.V.; Cruz,G.P.R.;Justino,W.S.",302,,2016,05,26,,,Brasil,Espírito Santo,Castelo,Mirante do Parque.,-41.184700012207,-20.6035995483398,-410908333.0,-205111111.0,23588,,,,,,,,,,,,"Folhas verdes. Habitat: Interior de Mata de Encosta, próximo a afloramento rochoso. Habito: Herbáceo",SAMES06200,,auto
2021-06-30 13:23:16-03,MBM,MBM,406184,S,Plantae,,,,Orchidaceae,Zygopetalum,maculatum,,Zygopetalum maculatum,(Kunth) Garay,"Ferreira, P.C.",2016,02,01,,"Ferreira, P.C.; Ariati, V.; Canestraro, B.K.; Lozzano, E.; Meyer, F.S.; Ariati, V.; Canestraro, B.K.; Lozzano, E.; Meyer, F.S.",57,,2015,09,13,,Southern America,Brazil,Paraná,Campina Grande do Sul,"Serra do Ibitiraquire, Trilha para o Morro Caratuva",-48.834167,-25.238056,-48.834167,-25.238056,,,1554,1554,,,,,,,,,Terrícola; flores amarelas.; Floresta Ombrófila Densa Montana.,MBM406184,MBM406184,
2021-06-30 13:23:16-03,MBM,MBM,416091,S,Plantae,,,,Orchidaceae,Zygopetalum,maculatum,,Zygopetalum maculatum,(Kunth) Garay,"Engels, M.E.",2019,01,08,,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.",5744,,2018,11,12,,Southern America,Brazil,Bahia,Mucugê,"Chapada Diamantina, trilha para Cachoeira Três Barras",-41.293333,-12.984167,-41.293333,-12.984167,,,862,862,,,,,,,,,"Erva terrícola; labelo branco com listras pontilhadas vinosas, pétalas e sépalas verdes com manchas vinosas.; Campo rupestre.",MBM416091,,
2021-06-30 13:23:16-03,MBM,MBM,337311,S,Plantae,,,,Orchidaceae,Zygopetalum,maculatum,,Zygopetalum maculatum,(Kunth) Garay,"Mancinelli, W.S.",2009,11,24,,"Silva, J.M.; Cordeiro, J.; Barboza, E.; Cordeiro, J.; Barboza, E.",5849,,2007,05,17,,Southern America,Brazil,Paraná,Bocaiúva do Sul,Serra da Bacaina,-49.1150016784668,-25.2061004638672,0,0,61623,,,,,,,,,,,,"Rupícola; ápice das sépalas com máculas vinosas, labelo alvacento. Campo de altitude",MBM337311,MBM337311,auto
2021-06-30 13:23:16-03,MBM,MBM,396117,S,Plantae,,,,Orchidaceae,Zygopetalum,maculatum,,Zygopetalum maculatum,(Kunth) Garay,"Engels, M.E.",2014,01,22,,"Engels, M.E.; Lozano, E.D.; Reginato, M.; Lozano, E.D.; Reginato, M.",2356,,2014,01,22,,Southern America,Brazil,Paraná,Campina Grande do Sul,"Serra do Ibitiraquire, trilha da base para morro Getúlio até pico Itapiroca",-49.0553016662598,-25.3055992126465,0,0,55154,,,,,,,,,,,,"Terrícola. Folhas verdes. Flores com pétalas e sépalas verdes densamente maculadas de castanho. Labelo alvo densamente estriado de vináceo. Frutos verdes.; Ecótono entre Floresta Ombrófila Densa e Floresta Ombrófila Mista, em campo d",MBM396117,MBM396117,auto
2021-06-30 13:23:16-03,MBM,MBM,310874,S,Plantae,,,,Orchidaceae,Zygopetalum,maculatum,,Zygopetalum maculatum,(Kunth) Garay,"Mancinelli, W.S.",2009,11,24,,"Silva, J.M.; Barboza, E.; Poliquesi, C.B.; Barboza, E.; Poliquesi, C.B.",4431,,2005,11,10,,Southern America,Brazil,Paraná,Palmeira,Cercado,-50.0064010620117,-25.4293994903564,0,0,35166,,,,,,,,,,,,"Terrícola, flor violeta. Sobre afloramento de arenito",MBM310874,MBM310874,auto
2021-06-30 13:23:16-03,MBM,MBM,289992,S,Plantae,,,,Orchidaceae,Zygopetalum,maculatum,,Zygopetalum maculatum,(Kunth) Garay,"Mancinelli, W.S.",2009,11,24,,"Cordeiro, J.",2126,,2003,11,12,,Southern America,Brazil,Paraná,Piraquara,Morro do Canal,-49.0633010864258,-25.4416999816895,0,0,12577,,,,,,,,,,,,"Rupícola, flor lilás, labelo alvo, nervuras lilases. Alto do morro",MBM289992,MBM289992,auto
2021-06-30 13:23:16-03,MBM,MBM,294763,S,Plantae,,,,Orchidaceae,Zygopetalum,maculatum,,Zygopetalum maculatum,(Kunth) Garay,"Mancinelli, W.S.",2009,11,24,,"Varotto, R.",26,,2003,11,11,,Southern America,Brazil,Paraná,Piraquara,Morro do Vigia,-49.0633010864258,-25.4416999816895,0,0,12577,,,,,,,,,,,,"Rupícola, flor marrom-amarelada, labelo roxo",MBM294763,MBM294763,auto
